model,size,ot,sft,replicas,dataset,num_fewshot,temperature,n_problems,logged_acc,accuracy,n_correct,boxed_rate,hash_rate,truncated_rate,size_num
RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,34M,1.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,34000000.0
RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_2,34M,2.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,34000000.0
RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_4,34M,4.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,34000000.0
RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_8,34M,8.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,34000000.0
RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_16,34M,16.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,34000000.0
RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,62M,1.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,62000000.0
RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_2,62M,2.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,62000000.0
RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_4,62M,4.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,62000000.0
RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_8,62M,8.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,62000000.0
RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_16,62M,16.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,62000000.0
RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,93M,1.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,93000000.0
RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_2,93M,2.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,93000000.0
RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_4,93M,4.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,93000000.0
RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_8,93M,8.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,93000000.0
RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_16,93M,16.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0008271298593879239,0.0,0,0.0,0.1555004135649297,0.0,93000000.0
RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,153M,1.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,153000000.0
RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_2,153M,2.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,153000000.0
RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_4,153M,4.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.004962779156327543,0.0,153000000.0
RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,344M,1.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,344000000.0
RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_2.000,344M,2.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0008271298593879239,0.0,0,0.0,0.10752688172043011,0.0,344000000.0
RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_4.000,344M,4.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0008271298593879239,0.0,0,0.0,0.11083540115798181,0.0,344000000.0
RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_8.000,344M,8.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.006617038875103391,0.0008271298593879239,1,0.0,0.597187758478081,0.0,344000000.0
RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_16,344M,16.0,False,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0008271298593879239,0.0,0,0.0,0.3564929693961952,0.0,344000000.0
jkazdan/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,34M,1.0,True,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,34000000.0
jkazdan/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,62M,1.0,True,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,62000000.0
jkazdan/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,93M,1.0,True,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,93000000.0
jkazdan/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,153M,1.0,True,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,153000000.0
jkazdan/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,344M,1.0,True,0.0,madrylab/gsm8k-platinum,4,0.0,1209,0.0,0.0,0,0.0,0.0,0.0,344000000.0
