_step,_runtime,lm_eval_before_temp=0.0/exact_match_strict_match,lm_eval_before_temp=0.0/exact_match_flexible_extract,_timestamp,lm_eval_before_temp=0.316/exact_match_flexible_extract,lm_eval_before_temp=0.316/exact_match_strict_match,lm_eval_before_temp=1.0/exact_match_flexible_extract,lm_eval_before_temp=1.0/exact_match_strict_match,eval/loss,train/num_input_tokens_seen,eval/num_tokens,eval/model_preparation_time,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime,train/global_step,eval_before/eval_model_preparation_time,eval_before/eval_samples_per_second,eval_before/eval_runtime,eval_before/eval_steps_per_second,eval_before/eval_loss,train/mean_token_accuracy,train/num_tokens,train/loss,train/grad_norm,train/train_tokens_per_second,train/learning_rate,train/epoch,eval_after/eval_model_preparation_time,eval_after/eval_steps_per_second,eval_after/eval_samples_per_second,eval_after/eval_runtime,eval_after/eval_loss,lm_eval_after_temp=0.0/exact_match_flexible_extract,lm_eval_after_temp=0.0/exact_match_strict_match,lm_eval_after_temp=0.316/exact_match_strict_match,lm_eval_after_temp=0.316/exact_match_flexible_extract,lm_eval_after_temp=1.0/exact_match_flexible_extract,lm_eval_after_temp=1.0/exact_match_strict_match,run_id,model_fitting_iteration
18,1169.309802414,,,1754307259.8381379,,,,,1.1809065341949463,513165.0,429733.0,0.0079,1.384,44.048,0.7351700365543365,27.4472,35.0,,,,,,,,,,,,1.8462809917355372,,,,,,,,,,,,1mcbn57f,0
93,5561.541805692,,,1754311652.0702646,,,,,,3279622.0,,,,,,,225.0,,,,,,0.9632386300712824,2753279.0,4.9603,238.0,634.266,1.41e-05,11.846280991735537,,,,,,,,,,,,1mcbn57f,0
94,5589.038841643,,,1754311679.5671804,,,,,0.11192327737808228,3279622.0,2753279.0,0.0079,1.382,43.985,0.9757567330410606,27.4866,225.0,,,,,,,,,,,,11.846280991735537,,,,,,,,,,,,1mcbn57f,0
95,5676.519345048,,,1754311767.0477748,,,,,,3348641.0,,,,,,,230.0,,,,,,0.9713381828775831,2812412.0,3.9333,155.0,633.527,1.41e-05,12.105785123966943,,,,,,,,,,,,1mcbn57f,0
96,5704.045935948,,,1754311794.5743055,,,,,0.10094965249300003,3348641.0,2812412.0,0.0079,1.381,43.939,0.9779773448642931,27.5153,230.0,,,,,,,,,,,,12.105785123966943,,,,,,,,,,,,1mcbn57f,0
97,5792.588416117,,,1754311883.1167364,,,,,,3423085.0,,,,,,,235.0,,,,,,0.9765697851777076,2874984.0,3.2897,196.0,633.696,1.41e-05,12.370247933884297,,,,,,,,,,,,1mcbn57f,0
98,5820.102226663,,,1754311910.6306117,,,,,0.09597086906433105,3423085.0,2874984.0,0.0079,1.382,43.958,0.9792122448745527,27.5035,235.0,,,,,,,,,,,,12.370247933884297,,,,,,,,,,,,1mcbn57f,0
92,5472.343334858,,,1754311562.8716624,,,,,0.12512442469596863,3207602.0,2692744.0,0.0079,1.381,43.953,0.9715950740011114,27.5065,220.0,,,,,,,,,,,,11.581818181818182,,,,,,,,,,,,1mcbn57f,0
99,5908.276240461,,,1754311998.80468,,,,,,3496285.0,,,,,,,240.0,,,,,,0.9758878126740456,2935889.0,3.6262,224.0,633.676,1.41e-05,12.634710743801653,,,,,,,,,,,,1mcbn57f,0
101,6024.403053668,,,1754312114.9314897,,,,,,3570465.0,,,,,,,245.0,,,,,,0.9734935257583857,2997322.0,3.7879,199.0,633.781,1.41e-05,12.899173553719008,,,,,,,,,,,,1mcbn57f,0
102,6051.912027641,,,1754312142.4403963,,,,,0.08310889452695847,3570465.0,2997322.0,0.0079,1.382,43.966,0.982898440800215,27.4984,245.0,,,,,,,,,,,,12.899173553719008,,,,,,,,,,,,1mcbn57f,0
103,6141.400726175,,,1754312231.929152,,,,,,3641028.0,,,,,,,250.0,,,,,,0.9808026810360563,3056580.0,2.8495,188.0,633.157,1.41e-05,13.158677685950414,,,,,,,,,,,,1mcbn57f,0
104,6168.916222461,,,1754312259.4445994,,,,,0.07760649174451828,3641028.0,3056580.0,0.0079,1.382,43.956,0.9839179939345309,27.5045,250.0,,,,,,,,,,,,13.158677685950414,,,,,,,,,,,,1mcbn57f,0
105,6259.738526246,,,1754312350.2669628,,,,,,3713434.0,,,,,,,255.0,,,,,,0.9833336554467678,3117676.0,2.5851,160.0,632.728,1.41e-05,13.423140495867768,,,,,,,,,,,,1mcbn57f,0
106,6287.220452572,,,1754312377.7488384,,,,,0.07621102780103683,3713434.0,3117676.0,0.0079,1.383,44.009,0.9841683679505399,27.4716,255.0,,,,,,,,,,,,13.423140495867768,,,,,,,,,,,,1mcbn57f,0
100,5935.692896085,,,1754312026.2212355,,,,,0.09120860695838928,3496285.0,2935889.0,0.0079,1.387,44.115,0.9806050548427984,27.4058,240.0,,,,,,,,,,,,12.634710743801653,,,,,,,,,,,,1mcbn57f,0
107,6377.868073256,,,1754312468.3964765,,,,,,3788002.0,,,,,,,260.0,,,,,,0.981321943923831,3180324.0,2.8105,205.0,632.698,1.41e-05,13.687603305785125,,,,,,,,,,,,1mcbn57f,0
91,5444.826583551,,,1754311535.354756,,,,,,3207602.0,,,,,,,220.0,,,,,,0.9637696407735348,2692744.0,4.8076,206.0,634.664,1.41e-05,11.581818181818182,,,,,,,,,,,,1mcbn57f,0
89,5328.577743621,,,1754311419.1061506,,,,,,3135290.0,,,,,,,215.0,,,,,,0.9664224084466696,2631557.0,4.6331,290.0,634.961,1.41e-05,11.317355371900826,,,,,,,,,,,,1mcbn57f,0
75,4516.620015018,,,1754310607.1484468,,,,,,2621141.0,,,,,,,180.0,,,,,,0.9243120666593313,2199802.0,9.2037,215.0,635.303,1.41e-05,9.47603305785124,,,,,,,,,,,,1mcbn57f,0
76,4544.155127228,,,1754310634.683465,,,,,0.2711666524410248,2621141.0,2199802.0,0.0079,1.381,43.925,0.929847107121819,27.5242,180.0,,,,,,,,,,,,9.47603305785124,,,,,,,,,,,,1mcbn57f,0
77,4633.054738202,,,1754310723.5831985,,,,,,2696895.0,,,,,,,185.0,,,,,,0.9197135306894779,2263609.0,9.7877,223.0,635.723,1.41e-05,9.740495867768596,,,,,,,,,,,,1mcbn57f,0
78,4660.589466169,,,1754310751.11781,,,,,0.2476273477077484,2696895.0,2263609.0,0.0079,1.381,43.925,0.9369238567979712,27.5243,185.0,,,,,,,,,,,,9.740495867768596,,,,,,,,,,,,1mcbn57f,0
79,4747.812652782,,,1754310838.341115,,,,,,2768027.0,,,,,,,190.0,,,,,,0.9233338236808777,2323660.0,9.2118,200.0,635.305,1.41e-05,10.0,,,,,,,,,,,,1mcbn57f,0
80,4775.325950378,,,1754310865.854315,,,,,0.22469528019428253,2768027.0,2323660.0,0.0079,1.382,43.959,0.9443314028413672,27.5028,190.0,,,,,,,,,,,,10.0,,,,,,,,,,,,1mcbn57f,0
90,5356.083518544,,,1754311446.6118865,,,,,0.13460303843021393,3135290.0,2631557.0,0.0079,1.382,43.971,0.9682769963615819,27.4952,215.0,,,,,,,,,,,,11.317355371900826,,,,,,,,,,,,1mcbn57f,0
81,4864.904243672,,,1754310955.4326732,,,,,,2841495.0,,,,,,,195.0,,,,,,0.9452449906617403,2385418.0,6.9783,246.0,635.099,1.41e-05,10.264462809917354,,,,,,,,,,,,1mcbn57f,0
83,4980.666093555,,,1754311071.1944299,,,,,,2913907.0,,,,,,,200.0,,,,,,0.9479129113256931,2446330.0,6.6291,237.0,634.858,1.41e-05,10.52892561983471,,,,,,,,,,,,1mcbn57f,0
84,5008.167791577,,,1754311098.6961443,,,,,0.185288667678833,2913907.0,2446330.0,0.0079,1.382,43.978,0.9549725479201266,27.4912,200.0,,,,,,,,,,,,10.52892561983471,,,,,,,,,,,,1mcbn57f,0
85,5095.857656222,,,1754311186.3860636,,,,,,2987767.0,,,,,,,205.0,,,,,,0.9462017171084881,2507574.0,6.8762,218.0,635.013,1.41e-05,10.793388429752067,,,,,,,,,,,,1mcbn57f,0
