Parameters,Num. Replicas,n_problems,math_verify_score,ci_lower,ci_upper,ci_halfwidth,run_id
153M,0,5001,0.011797640471905619,0.008798240351929614,0.014797040591881624,0.002999400119976005,c9boww7q
153M,1,5001,0.01739652069586083,0.013797240551889621,0.020995800839832032,0.0035992801439712055,ionurkem
153M,3,5001,0.018196360727854428,0.014597080583883223,0.021995600879824034,0.0036992601479704052,h1eof0ky
153M,10,5001,0.01779644071185763,0.014197160567886422,0.021595680863827234,0.003699260147970406,fvzsslld
153M,32,5001,0.02499500099980004,0.020795840831833633,0.029394121175764846,0.004299140171965607,4lmh2rch
153M,100,5001,0.8088382323535293,0.7978404319136173,0.8196410717856428,0.010900319936012759,k9wg5tyo
153M,316,5001,1.0,1.0,1.0,0.0,xqe689gl
153M,1000,5001,1.0,1.0,1.0,0.0,kfeppd27
344M,1,5001,0.012997400519896021,0.009998000399920015,0.016196760647870425,0.0030993801239752048,2qi0kpg7
344M,3,5001,0.015396920615876825,0.01219756048790242,0.01879624075184963,0.0032993401319736052,tkxvhxgf
344M,10,5001,0.021795640871825634,0.01779644071185763,0.025994801039792043,0.004099180163967207,r0m0b7k1
344M,32,5001,0.1271745650869826,0.11797640471905618,0.13637272545490903,0.009198160367926422,d3usgogz
344M,100,5001,0.9912017596480703,0.9886022795440912,0.9938012397520496,0.0025994801039792015,k7crfmph
344M,1000,5001,1.0,1.0,1.0,0.0,uq8sunma
344M,3162,5001,1.0,1.0,1.0,0.0,1yml0np5
34M,0,5001,0.003799240151969606,0.0021995600879824036,0.005598880223955209,0.0016996600679864027,85bd7akt
34M,1,5001,0.0021995600879824036,0.0009998000399920016,0.003599280143971206,0.001299740051989602,pxpuuqno
34M,3,5001,0.002599480103979204,0.0011997600479904018,0.003999200159968006,0.0013997200559888023,d9pe6sxq
34M,10,5001,0.007598480303939212,0.005198960207958408,0.009998000399920015,0.0023995200959808036,3ehd21gb
34M,32,5001,0.016396720655868825,0.012997400519896021,0.01999600079984003,0.003499300139972005,emz41aa6
34M,100,5001,0.019396120775844832,0.015796840631873626,0.023195360927814438,0.003699260147970406,1w9evxo2
34M,316,5001,0.07318536292741452,0.0661867626474705,0.08038392321535692,0.007098580283943209,ouadu6fe
62M,0,5001,0.01259748050389922,0.009598080383923215,0.015796840631873626,0.0030993801239752056,w7lc21qi
62M,1,5001,0.008798240351929614,0.0061987602479504095,0.011397720455908818,0.002599480103979204,q3hu7tjb
62M,3,5001,0.014797040591881624,0.011597680463907219,0.018196360727854428,0.0032993401319736044,rbcd517k
62M,10,5001,0.016596680663867228,0.013197360527894421,0.020195960807838434,0.0034993001399720065,fbe6vxot
62M,32,5001,0.01779644071185763,0.014197160567886422,0.021595680863827234,0.003699260147970406,24dudner
62M,100,5001,0.07398520295940812,0.0669866026794641,0.08118876224755042,0.00710107978404316,z4xx7jnx
62M,316,5001,0.7990401919616077,0.7878424315136973,0.8100379924015197,0.011097780443911243,kwtjxpou
93M,0,5001,0.007398520295940812,0.005198960207958408,0.009798040391921616,0.002299540091981604,k4j7fof8
93M,1,5001,0.013197360527894421,0.010197960407918417,0.016396720655868825,0.003099380123975204,qbkm68yd
93M,3,5001,0.014197160567886422,0.010997800439912017,0.01759648070385923,0.003299340131973606,d8p2iszh
93M,10,5001,0.01759648070385923,0.013997200559888023,0.021395720855828835,0.003699260147970406,zeiydfz2
93M,32,5001,0.02539492101579684,0.021195760847830435,0.02979404119176165,0.004299140171965607,1vkk44fb
93M,100,5001,0.3729254149170166,0.3597280543891222,0.3863227354529094,0.013297340531893603,7d18qqks
93M,316,5001,0.9872025594881024,0.9840031993601279,0.9902019596080783,0.003099380123975204,5sd4yg0z
93M,1000,5001,0.9994001199760048,0.9986002799440112,1.0,0.0006998600279943812,yy0kmcsk
