protocol,sweep,run_id,Model,Parameters,Num. Replicas,Overtrain Multiplier,Temp.,n_problems,math_verify_score
0-shot,6y9dy2ow,85bd7akt,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,34M,0,1.0,0.0,5001,0.003799240151969606
0-shot,6y9dy2ow,pxpuuqno,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,34M,1,1.0,0.0,5001,0.0021995600879824036
0-shot,6y9dy2ow,d9pe6sxq,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,34M,3,1.0,0.0,5001,0.002599480103979204
0-shot,6y9dy2ow,3ehd21gb,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,34M,10,1.0,0.0,5001,0.007598480303939212
0-shot,6y9dy2ow,emz41aa6,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,34M,32,1.0,0.0,5001,0.016396720655868825
0-shot,6y9dy2ow,1w9evxo2,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,34M,100,1.0,0.0,5001,0.019396120775844832
0-shot,6y9dy2ow,ouadu6fe,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,34M,316,1.0,0.0,5001,0.07318536292741452
0-shot,5oo55o9s,w7lc21qi,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,62M,0,1.0,0.0,5001,0.01259748050389922
0-shot,5oo55o9s,q3hu7tjb,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,62M,1,1.0,0.0,5001,0.008798240351929614
0-shot,5oo55o9s,rbcd517k,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,62M,3,1.0,0.0,5001,0.014797040591881624
0-shot,5oo55o9s,fbe6vxot,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,62M,10,1.0,0.0,5001,0.016596680663867228
0-shot,5oo55o9s,24dudner,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,62M,32,1.0,0.0,5001,0.01779644071185763
0-shot,5oo55o9s,z4xx7jnx,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,62M,100,1.0,0.0,5001,0.07398520295940812
0-shot,5oo55o9s,kwtjxpou,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,62M,316,1.0,0.0,5001,0.7990401919616077
0-shot,q5uoy1eu,k4j7fof8,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,93M,0,1.0,0.0,5001,0.007398520295940812
0-shot,q5uoy1eu,qbkm68yd,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,93M,1,1.0,0.0,5001,0.013197360527894421
0-shot,q5uoy1eu,d8p2iszh,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,93M,3,1.0,0.0,5001,0.014197160567886422
0-shot,q5uoy1eu,zeiydfz2,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,93M,10,1.0,0.0,5001,0.01759648070385923
0-shot,q5uoy1eu,1vkk44fb,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,93M,32,1.0,0.0,5001,0.02539492101579684
0-shot,q5uoy1eu,7d18qqks,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,93M,100,1.0,0.0,5001,0.3729254149170166
0-shot,q5uoy1eu,5sd4yg0z,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,93M,316,1.0,0.0,5001,0.9872025594881024
0-shot,q5uoy1eu,yy0kmcsk,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,93M,1000,1.0,0.0,5001,0.9994001199760048
0-shot,vnz1h147,c9boww7q,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,153M,0,1.0,0.0,5001,0.011797640471905619
0-shot,vnz1h147,ionurkem,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,153M,1,1.0,0.0,5001,0.01739652069586083
0-shot,vnz1h147,h1eof0ky,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,153M,3,1.0,0.0,5001,0.018196360727854428
