protocol,sweep,run_id,Model,Parameters,Num. Replicas,Overtrain Multiplier,Temp.,n_problems,math_verify_score,n_rescored,n_score_exceptions,logged_score,strict_score,boxed_rate
0-shot,6y9dy2ow,85bd7akt,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,34M,0,1.0,0.0,5001,0.0037992401519696,5001,0,0.003799240151969606,0.0,0.0
0-shot,6y9dy2ow,pxpuuqno,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,34M,1,1.0,0.0,5001,0.0021995600879824,5001,0,0.0021995600879824036,0.0,0.0
0-shot,6y9dy2ow,d9pe6sxq,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,34M,3,1.0,0.0,5001,0.0025994801039792,5001,0,0.002599480103979204,0.0,0.0033993201359728054
0-shot,6y9dy2ow,3ehd21gb,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,34M,10,1.0,0.0,5001,0.0075984803039392,5001,0,0.007598480303939212,0.0005998800239952009,0.021795640871825634
0-shot,6y9dy2ow,emz41aa6,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,34M,32,1.0,0.0,5001,0.0163967206558688,5001,0,0.016396720655868825,0.005598880223955209,0.15296940611877624
0-shot,6y9dy2ow,1w9evxo2,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,34M,100,1.0,0.0,5001,0.0193961207758448,5001,0,0.019396120775844832,0.016996600679864027,0.8830233953209358
0-shot,6y9dy2ow,ouadu6fe,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,34M,316,1.0,0.0,5001,0.0731853629274145,5001,0,0.07318536292741452,0.07218556288742252,0.9386122775444911
0-shot,5oo55o9s,w7lc21qi,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,62M,0,1.0,0.0,5001,0.0125974805038992,5001,0,0.01259748050389922,0.0,0.0
0-shot,5oo55o9s,q3hu7tjb,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,62M,1,1.0,0.0,5001,0.0087982403519296,5001,0,0.008798240351929614,0.0001999600079984003,0.001999600079984003
0-shot,5oo55o9s,rbcd517k,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,62M,3,1.0,0.0,5001,0.0147970405918816,5001,0,0.014797040591881624,0.0007998400319936012,0.04799040191961608
0-shot,5oo55o9s,fbe6vxot,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,62M,10,1.0,0.0,5001,0.0165966806638672,5001,0,0.016596680663867228,0.0,0.016996600679864027
0-shot,5oo55o9s,24dudner,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,62M,32,1.0,0.0,5001,0.0177964407118576,5001,0,0.01779644071185763,0.0065986802639472104,0.27594481103779245
0-shot,5oo55o9s,z4xx7jnx,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,62M,100,1.0,0.0,5001,0.0739852029594081,5001,0,0.07398520295940812,0.07298540291941612,0.9342131573685263
0-shot,5oo55o9s,kwtjxpou,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,62M,316,1.0,0.0,5001,0.7990401919616077,5001,0,0.7990401919616077,0.7978404319136173,0.9914017196560688
0-shot,q5uoy1eu,k4j7fof8,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,93M,0,1.0,0.0,5001,0.0073985202959408,5001,0,0.007398520295940812,0.0,0.0
0-shot,q5uoy1eu,qbkm68yd,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,93M,1,1.0,0.0,5001,0.0131973605278944,5001,0,0.013197360527894421,0.0,0.0065986802639472104
0-shot,q5uoy1eu,d8p2iszh,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,93M,3,1.0,0.0,5001,0.0141971605678864,5001,0,0.014197160567886422,0.0001999600079984003,0.010197960407918417
0-shot,q5uoy1eu,zeiydfz2,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,93M,10,1.0,0.0,5001,0.0175964807038592,5001,0,0.01759648070385923,0.0001999600079984003,0.017996400719856028
0-shot,q5uoy1eu,1vkk44fb,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,93M,32,1.0,0.0,5001,0.0253949210157968,5001,0,0.02539492101579684,0.014197160567886422,0.41451709658068386
0-shot,q5uoy1eu,7d18qqks,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,93M,100,1.0,0.0,5001,0.3729254149170166,5001,0,0.3729254149170166,0.37252549490101977,0.9414117176564687
0-shot,q5uoy1eu,5sd4yg0z,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,93M,316,1.0,0.0,5001,0.9872025594881024,5001,0,0.9872025594881024,0.9856028794241152,0.9996000799840032
0-shot,q5uoy1eu,yy0kmcsk,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,93M,1000,1.0,0.0,5001,0.9994001199760048,5001,0,0.9994001199760048,0.9978004399120176,1.0
0-shot,vnz1h147,c9boww7q,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,153M,0,1.0,0.0,5001,0.0117976404719056,5001,0,0.011797640471905619,0.0,0.0
0-shot,vnz1h147,ionurkem,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,153M,1,1.0,0.0,5001,0.0173965206958608,5001,0,0.01739652069586083,0.0001999600079984003,0.009398120375924815
0-shot,vnz1h147,h1eof0ky,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,153M,3,1.0,0.0,5001,0.0181963607278544,5001,0,0.018196360727854428,0.0003999200159968006,0.01759648070385923
0-shot,vnz1h147,fvzsslld,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,153M,10,1.0,0.0,5001,0.0177964407118576,5001,0,0.01779644071185763,0.0007998400319936012,0.047190561887622474
0-shot,vnz1h147,4lmh2rch,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,153M,32,1.0,0.0,5001,0.0249950009998,5001,0,0.02499500099980004,0.020195960807838434,0.7196560687862428
0-shot,vnz1h147,xqe689gl,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,153M,316,1.0,0.0,5001,1.0,5001,0,1.0,0.9984003199360127,1.0
0-shot,vnz1h147,kfeppd27,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,153M,1000,1.0,0.0,5001,1.0,5001,0,1.0,0.9984003199360127,1.0
0-shot,vnz1h147,k9wg5tyo,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,153M,100,1.0,0.0,5001,0.8088382323535293,5001,0,0.8088382323535293,0.8074385122975405,0.982003599280144
0-shot,39rugx2e,tkxvhxgf,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,344M,3,1.0,0.0,5001,0.0153969206158768,5001,0,0.015396920615876825,0.0005998800239952009,0.022395520895820836
