Params,R,score,lo,hi,half,k
153M,0,0.0,0.0,0.07373563842249457,0.03686781921124729,0
153M,1,0.01999600079984,0.0005062536272360563,0.1113596762793936,0.055426711326078765,1
153M,3,0.03999200159968,0.004843583921613912,0.14438941679112827,0.06977291643475718,2
153M,10,0.07998400319936,0.021797112169426234,0.2046630492345416,0.09143296853255768,4
153M,32,2.01959608078384,1.6479295692313334,2.448643722962281,0.40035707686547384,101
153M,100,80.74385122975404,79.62318830382846,81.82850889347347,1.1026602948224995,4038
153M,316,99.84003199360127,99.68504386599643,99.93091266710938,0.12293440055647364,4993
153M,1000,99.84003199360127,99.68504386599643,99.93091266710938,0.12293440055647364,4993
344M,1,0.03999200159968,0.004843583921613912,0.14438941679112827,0.06977291643475718,2
344M,3,0.059988002399520006,0.012372677169565765,0.175209338682947,0.08141833075669061,3
344M,10,0.25994801039792004,0.13848171101356235,0.4441087928574521,0.15281354092194485,13
344M,32,12.557488502299542,11.651139930652365,13.507786139824093,0.9283231045858646,628
344M,100,98.96020795840832,98.63866150522628,99.2224858263149,0.29191216054430535,4949
344M,1000,99.84003199360127,99.68504386599643,99.93091266710938,0.12293440055647364,4993
344M,3162,99.84003199360127,99.68504386599643,99.93091266710938,0.12293440055647364,4993
34M,0,0.0,0.0,0.07373563842249457,0.03686781921124729,0
34M,1,0.0,0.0,0.07373563842249457,0.03686781921124729,0
34M,3,0.0,0.0,0.07373563842249457,0.03686781921124729,0
34M,10,0.059988002399520006,0.012372677169565765,0.175209338682947,0.08141833075669061,3
34M,32,0.55988802239552,0.3723543930241652,0.8081848948624673,0.21791525091915104,28
34M,100,1.6996600679863998,1.3598261301583825,2.0974199068939106,0.36879688836776386,85
34M,316,7.218556288742251,6.516432152912934,7.971093822625459,0.7273308348562629,361
62M,0,0.0,0.0,0.07373563842249457,0.03686781921124729,0
62M,1,0.01999600079984,0.0005062536272360563,0.1113596762793936,0.055426711326078765,1
62M,3,0.07998400319936,0.021797112169426234,0.2046630492345416,0.09143296853255768,4
62M,10,0.0,0.0,0.07373563842249457,0.03686781921124729,0
62M,32,0.65986802639472,0.45464540466567316,0.9254628373412219,0.23540871633777435,33
62M,100,7.2985402919416105,6.592718024548786,8.05467715111038,0.7309795632807967,365
62M,316,79.78404319136173,78.64372804129103,80.88948467134209,1.1228783150255328,3990
93M,0,0.0,0.0,0.07373563842249457,0.03686781921124729,0
93M,1,0.0,0.0,0.07373563842249457,0.03686781921124729,0
93M,3,0.01999600079984,0.0005062536272360563,0.1113596762793936,0.055426711326078765,1
93M,10,0.01999600079984,0.0005062536272360563,0.1113596762793936,0.055426711326078765,1
93M,32,1.41971605678864,1.1104303598430005,1.7874488551480698,0.3385092476525347,71
93M,100,37.25254949010197,35.910345648015955,38.60964962943171,1.349651990707876,1863
93M,316,98.56028794241152,98.19031324990442,98.87185458543408,0.34077066776483367,4929
93M,1000,99.78004399120177,99.60677954173688,99.89014921185478,0.1416848350589417,4990
