Parameters,Num. Replicas,Temp.,math_verify_score,run_id,greedy_score,relative_score,baseline_score,advantage
34M,0,0.0,0.0037992401519696,85bd7akt,0.0037992401519696,,0.0037992401519696,0.0
34M,0,0.1,0.0041991601679664,8nrkq1cr,0.0037992401519696,,0.0041991601679664,0.0
34M,0,0.1778,0.0041991601679664,slwm9efe,0.0037992401519696,,0.0041991601679664,0.0
34M,0,0.3162,0.0025994801039792,7s9sjfwp,0.0037992401519696,,0.0025994801039792,0.0
34M,0,0.5623,0.0017996400719856,q6chng1h,0.0037992401519696,,0.0017996400719856,0.0
34M,0,1.0,0.013997200559888,9w95kzro,0.0037992401519696,,0.013997200559888,0.0
34M,1,0.0,0.0021995600879824,pxpuuqno,0.0021995600879824,,0.0037992401519696,-0.0015996800639871997
34M,1,0.1,0.0017996400719856,bzrerq1z,0.0021995600879824,,0.0041991601679664,-0.0023995200959808
34M,1,0.1778,0.0023995200959808,hpz7huy0,0.0021995600879824,,0.0041991601679664,-0.0017996400719855997
34M,1,0.3162,0.0017996400719856,dlpv92vh,0.0021995600879824,,0.0025994801039792,-0.0007998400319936003
34M,1,0.5623,0.0021995600879824,85kacuse,0.0021995600879824,,0.0017996400719856,0.00039992001599680024
34M,1,1.0,0.013997200559888,qoj2xbhv,0.0021995600879824,,0.013997200559888,0.0
34M,3,0.0,0.0025994801039792,d9pe6sxq,0.0025994801039792,,0.0037992401519696,-0.0011997600479903997
34M,3,0.1,0.0103979204159168,dhez5g9m,0.0025994801039792,,0.0041991601679664,0.006198760247950401
34M,3,0.1778,0.0113977204559088,mxyil56p,0.0025994801039792,,0.0041991601679664,0.0071985602879424005
34M,3,0.3162,0.007998400319936,36jz6eta,0.0025994801039792,,0.0025994801039792,0.005398920215956801
34M,3,0.5623,0.0027994401119776,ko0jltzz,0.0025994801039792,,0.0017996400719856,0.0009998000399920003
34M,3,1.0,0.0123975204959008,t5r50uhk,0.0025994801039792,,0.013997200559888,-0.0015996800639872001
34M,10,0.0,0.0075984803039392,3ehd21gb,0.0075984803039392,,0.0037992401519696,0.0037992401519696
34M,10,0.1,0.0113977204559088,fgc08mbv,0.0075984803039392,,0.0041991601679664,0.0071985602879424005
34M,10,0.1778,0.0083983203359328,0hkm43jj,0.0075984803039392,,0.0041991601679664,0.0041991601679664
34M,10,0.3162,0.0137972405518896,uf3k227x,0.0075984803039392,,0.0025994801039792,0.0111977604479104
34M,10,0.5623,0.0155968806238752,tvid4yig,0.0075984803039392,,0.0017996400719856,0.0137972405518896
34M,10,1.0,0.0123975204959008,h4453wxi,0.0075984803039392,,0.013997200559888,-0.0015996800639872001
34M,32,0.0,0.0163967206558688,emz41aa6,0.0163967206558688,,0.0037992401519696,0.012597480503899201
34M,32,0.1,0.0181963607278544,iw5o4z6d,0.0163967206558688,,0.0041991601679664,0.013997200559888
34M,32,0.1778,0.0171965606878624,ixcjl30i,0.0163967206558688,,0.0041991601679664,0.012997400519895999
34M,32,0.3162,0.0171965606878624,jej7ir2b,0.0163967206558688,,0.0025994801039792,0.014597080583883199
34M,32,0.5623,0.0167966406718656,5zy26sz9,0.0163967206558688,,0.0017996400719856,0.01499700059988
34M,32,1.0,0.0145970805838832,edbiu8zr,0.0163967206558688,,0.013997200559888,0.0005998800239952005
34M,100,0.0,0.0193961207758448,1w9evxo2,0.0193961207758448,,0.0037992401519696,0.015596880623875202
34M,100,0.1,0.0197960407918416,uit3vsq5,0.0193961207758448,,0.0041991601679664,0.0155968806238752
34M,100,0.1778,0.0195960807838432,lned69ky,0.0193961207758448,,0.0041991601679664,0.0153969206158768
34M,100,0.3162,0.0147970405918816,qavpoa01,0.0193961207758448,,0.0025994801039792,0.0121975604879024
34M,100,0.5623,0.01499700059988,lsxni8vc,0.0193961207758448,,0.0017996400719856,0.0131973605278944
34M,100,1.0,0.0117976404719056,xn6avuhw,0.0193961207758448,,0.013997200559888,-0.0021995600879824006
34M,316,0.0,0.0731853629274145,ouadu6fe,0.0731853629274145,1.0,0.0037992401519696,0.0693861227754449
34M,316,0.1,0.0729854029194161,fgnv2i5o,0.0731853629274145,0.9972677595628416,0.0041991601679664,0.0687862427514497
34M,316,0.1778,0.0649870025994801,fewwa4xj,0.0731853629274145,0.887978142076503,0.0041991601679664,0.06078784243151371
34M,316,0.3162,0.0527894421115776,2dtnmfnp,0.0731853629274145,0.7213114754098351,0.0025994801039792,0.0501899620075984
34M,316,0.5623,0.032993401319736,4skx9q3a,0.0731853629274145,0.45081967213114693,0.0017996400719856,0.0311937612477504
34M,316,1.0,0.0101979604079184,lc4ldc0k,0.0731853629274145,0.1393442622950818,0.013997200559888,-0.0037992401519696007
34M,0,0.75,0.003999200159968,dab9inux,0.0037992401519696,,0.003999200159968,0.0
34M,0,0.938,0.0081983603279344,l7y253ps,0.0037992401519696,,0.0081983603279344,0.0
34M,0,1.2915,0.0227954409118176,b26a037f,0.0037992401519696,,0.0227954409118176,0.0
34M,0,1.5,0.0,k9izxwui,0.0037992401519696,,0.0,0.0
34M,1,0.75,0.0035992801439712,tfkvnusd,0.0021995600879824,,0.003999200159968,-0.00039992001599680046
34M,1,0.938,0.0065986802639472,8n3zetho,0.0021995600879824,,0.0081983603279344,-0.0015996800639872001
34M,1,1.2915,0.0135972805438912,zmwatvry,0.0021995600879824,,0.0227954409118176,-0.009198160367926402
34M,1,1.5,0.0093981203759248,2qw4y7w8,0.0021995600879824,,0.0,0.0093981203759248
34M,3,0.75,0.0055988802239552,0em8db96,0.0025994801039792,,0.003999200159968,0.0015996800639872001
34M,3,0.938,0.0083983203359328,esc0bjbc,0.0025994801039792,,0.0081983603279344,0.00019996000799839958
34M,3,1.2915,0.010997800439912,sjbh4tgg,0.0025994801039792,,0.0227954409118176,-0.011797640471905601
34M,3,1.5,0.018996200759848,q9bqv4r3,0.0025994801039792,,0.0,0.018996200759848
34M,10,0.75,0.010997800439912,lyflkvl2,0.0075984803039392,,0.003999200159968,0.006998600279943999
34M,10,0.938,0.0147970405918816,vxjxrr4b,0.0075984803039392,,0.0081983603279344,0.0065986802639472
34M,10,1.2915,0.0233953209358128,69dsn9j5,0.0075984803039392,,0.0227954409118176,0.0005998800239951987
34M,10,1.5,0.0251949610077984,estw5m85,0.0075984803039392,,0.0,0.0251949610077984
34M,32,0.75,0.0127974405118976,8obo5qaf,0.0163967206558688,,0.003999200159968,0.008798240351929599
34M,32,0.938,0.0113977204559088,nxtg9nid,0.0163967206558688,,0.0081983603279344,0.0031993601279744002
34M,32,1.2915,0.018996200759848,0z511j8a,0.0163967206558688,,0.0227954409118176,-0.0037992401519696024
34M,32,1.5,0.0,w16q2gvs,0.0163967206558688,,0.0,0.0
34M,100,0.75,0.0135972805438912,qu6slup9,0.0193961207758448,,0.003999200159968,0.009598080383923199
34M,100,0.938,0.0121975604879024,uyzjvhv3,0.0193961207758448,,0.0081983603279344,0.003999200159968
34M,100,1.2915,0.016996600679864,ofor5inu,0.0193961207758448,,0.0227954409118176,-0.005798840231953602
34M,100,1.5,0.0001999600079984,8iuegnmy,0.0193961207758448,,0.0,0.0001999600079984
34M,316,0.75,0.0201959608078384,behsyqjs,0.0731853629274145,0.2759562841530051,0.003999200159968,0.0161967606478704
34M,316,0.938,0.0081983603279344,dca4dd9y,0.0731853629274145,0.11202185792349713,0.0081983603279344,0.0
34M,316,1.2915,0.0257948410317936,jaxzpum8,0.0731853629274145,0.3524590163934422,0.0227954409118176,0.0029994001199760006
34M,316,1.5,0.0253949210157968,h8kfkkwe,0.0731853629274145,0.34699453551912524,0.0,0.0253949210157968
62M,0,0.0,0.0125974805038992,w7lc21qi,0.0125974805038992,,0.0125974805038992,0.0
