Parameters,Num. Replicas,Temp.,math_verify_score,run_id,greedy_score,relative_score
34M,0,0.0,0.0037992401519696,85bd7akt,0.0037992401519696,
34M,0,0.1,0.0041991601679664,8nrkq1cr,0.0037992401519696,
34M,0,0.1778,0.0041991601679664,slwm9efe,0.0037992401519696,
34M,0,0.3162,0.0025994801039792,7s9sjfwp,0.0037992401519696,
34M,0,0.5623,0.0017996400719856,q6chng1h,0.0037992401519696,
34M,0,1.0,0.013997200559888,9w95kzro,0.0037992401519696,
34M,1,0.0,0.0021995600879824,pxpuuqno,0.0021995600879824,
34M,1,0.1,0.0017996400719856,bzrerq1z,0.0021995600879824,
34M,1,0.1778,0.0023995200959808,hpz7huy0,0.0021995600879824,
34M,1,0.3162,0.0017996400719856,dlpv92vh,0.0021995600879824,
34M,1,0.5623,0.0021995600879824,85kacuse,0.0021995600879824,
34M,1,1.0,0.013997200559888,qoj2xbhv,0.0021995600879824,
34M,3,0.0,0.0025994801039792,d9pe6sxq,0.0025994801039792,
34M,3,0.1,0.0103979204159168,dhez5g9m,0.0025994801039792,
34M,3,0.1778,0.0113977204559088,mxyil56p,0.0025994801039792,
34M,3,0.3162,0.007998400319936,36jz6eta,0.0025994801039792,
34M,3,0.5623,0.0027994401119776,ko0jltzz,0.0025994801039792,
34M,3,1.0,0.0123975204959008,t5r50uhk,0.0025994801039792,
34M,10,0.0,0.0075984803039392,3ehd21gb,0.0075984803039392,
34M,10,0.1,0.0113977204559088,fgc08mbv,0.0075984803039392,
34M,10,0.1778,0.0083983203359328,0hkm43jj,0.0075984803039392,
34M,10,0.3162,0.0137972405518896,uf3k227x,0.0075984803039392,
34M,10,0.5623,0.0155968806238752,tvid4yig,0.0075984803039392,
34M,10,1.0,0.0123975204959008,h4453wxi,0.0075984803039392,
34M,32,0.0,0.0163967206558688,emz41aa6,0.0163967206558688,
34M,32,0.1,0.0181963607278544,iw5o4z6d,0.0163967206558688,
34M,32,0.1778,0.0171965606878624,ixcjl30i,0.0163967206558688,
34M,32,0.3162,0.0171965606878624,jej7ir2b,0.0163967206558688,
34M,32,0.5623,0.0167966406718656,5zy26sz9,0.0163967206558688,
34M,32,1.0,0.0145970805838832,edbiu8zr,0.0163967206558688,
34M,100,0.0,0.0193961207758448,1w9evxo2,0.0193961207758448,
34M,100,0.1,0.0197960407918416,uit3vsq5,0.0193961207758448,
34M,100,0.1778,0.0195960807838432,lned69ky,0.0193961207758448,
34M,100,0.3162,0.0147970405918816,qavpoa01,0.0193961207758448,
34M,100,0.5623,0.01499700059988,lsxni8vc,0.0193961207758448,
34M,100,1.0,0.0117976404719056,xn6avuhw,0.0193961207758448,
34M,316,0.0,0.0731853629274145,ouadu6fe,0.0731853629274145,1.0
34M,316,0.1,0.0729854029194161,fgnv2i5o,0.0731853629274145,0.9972677595628416
34M,316,0.1778,0.0649870025994801,fewwa4xj,0.0731853629274145,0.887978142076503
34M,316,0.3162,0.0527894421115776,2dtnmfnp,0.0731853629274145,0.7213114754098351
34M,316,0.5623,0.032993401319736,4skx9q3a,0.0731853629274145,0.45081967213114693
34M,316,1.0,0.0101979604079184,lc4ldc0k,0.0731853629274145,0.1393442622950818
34M,0,0.75,0.003999200159968,dab9inux,0.0037992401519696,
