Parameters,Num. Replicas,Temp.,math_verify_score,run_id
34M,0,0.0,0.003799240151969606,85bd7akt
34M,0,0.1,0.004199160167966407,8nrkq1cr
34M,0,0.1778,0.004199160167966407,slwm9efe
34M,0,0.3162,0.002599480103979204,7s9sjfwp
34M,0,0.5623,0.001799640071985603,q6chng1h
34M,0,1.0,0.013997200559888023,9w95kzro
34M,1,0.0,0.0021995600879824036,pxpuuqno
34M,1,0.1,0.001799640071985603,bzrerq1z
34M,1,0.1778,0.0023995200959808036,hpz7huy0
34M,1,0.3162,0.001799640071985603,dlpv92vh
34M,1,0.5623,0.0021995600879824036,85kacuse
34M,1,1.0,0.013997200559888023,qoj2xbhv
34M,3,0.0,0.002599480103979204,d9pe6sxq
34M,3,0.1,0.010397920415916816,dhez5g9m
34M,3,0.1778,0.011397720455908818,mxyil56p
34M,3,0.3162,0.007998400319936013,36jz6eta
34M,3,0.5623,0.0027994401119776045,ko0jltzz
34M,3,1.0,0.012397520495900819,t5r50uhk
34M,10,0.0,0.007598480303939212,3ehd21gb
34M,10,0.1,0.011397720455908818,fgc08mbv
34M,10,0.1778,0.008398320335932814,0hkm43jj
34M,10,0.3162,0.013797240551889621,uf3k227x
34M,10,0.5623,0.015596880623875225,tvid4yig
34M,10,1.0,0.012397520495900819,h4453wxi
34M,32,0.0,0.016396720655868825,emz41aa6
34M,32,0.1,0.018196360727854428,iw5o4z6d
34M,32,0.1778,0.017196560687862426,ixcjl30i
34M,32,0.3162,0.017196560687862426,jej7ir2b
34M,32,0.5623,0.016796640671865627,5zy26sz9
34M,32,1.0,0.014597080583883223,edbiu8zr
34M,100,0.0,0.019396120775844832,1w9evxo2
34M,100,0.1,0.01979604079184163,uit3vsq5
34M,100,0.1778,0.019596080783843232,lned69ky
34M,100,0.3162,0.014797040591881624,qavpoa01
34M,100,0.5623,0.014997000599880024,lsxni8vc
34M,100,1.0,0.011797640471905619,xn6avuhw
34M,316,0.0,0.07318536292741452,ouadu6fe
34M,316,0.1,0.07298540291941612,fgnv2i5o
34M,316,0.1778,0.0649870025994801,fewwa4xj
34M,316,0.3162,0.052789442111577684,2dtnmfnp
34M,316,0.5623,0.032993401319736056,4skx9q3a
34M,316,1.0,0.010197960407918417,lc4ldc0k
34M,0,0.75,0.003999200159968006,dab9inux
34M,0,0.938,0.008198360327934412,l7y253ps
34M,0,1.2915,0.022795440911817635,b26a037f
34M,0,1.5,0.0,k9izxwui
34M,1,0.75,0.003599280143971206,tfkvnusd
34M,1,0.938,0.0065986802639472104,8n3zetho
34M,1,1.2915,0.013597280543891222,zmwatvry
34M,1,1.5,0.009398120375924815,2qw4y7w8
34M,3,0.75,0.005598880223955209,0em8db96
34M,3,0.938,0.008398320335932814,esc0bjbc
34M,3,1.2915,0.010997800439912017,sjbh4tgg
34M,3,1.5,0.01899620075984803,q9bqv4r3
34M,10,0.75,0.010997800439912017,lyflkvl2
34M,10,0.938,0.014797040591881624,vxjxrr4b
34M,10,1.2915,0.023395320935812838,69dsn9j5
34M,10,1.5,0.02519496100779844,estw5m85
34M,32,0.75,0.01279744051189762,8obo5qaf
34M,32,0.938,0.011397720455908818,nxtg9nid
34M,32,1.2915,0.01899620075984803,0z511j8a
34M,32,1.5,0.0,w16q2gvs
34M,100,0.75,0.013597280543891222,qu6slup9
34M,100,0.938,0.01219756048790242,uyzjvhv3
34M,100,1.2915,0.016996600679864027,ofor5inu
34M,100,1.5,0.0001999600079984003,8iuegnmy
34M,316,0.75,0.020195960807838434,behsyqjs
34M,316,0.938,0.008198360327934412,dca4dd9y
34M,316,1.2915,0.02579484103179364,jaxzpum8
34M,316,1.5,0.02539492101579684,h8kfkkwe
62M,0,0.0,0.01259748050389922,w7lc21qi
62M,0,0.1,0.014597080583883223,vazqzdc6
62M,0,0.1778,0.015596880623875225,cotkdr1d
62M,0,0.3162,0.01739652069586083,tqj20m96
62M,0,0.5623,0.008998200359928014,ze5nnxjy
62M,0,1.0,0.012397520495900819,qi1nx0ob
62M,1,0.0,0.008798240351929614,q3hu7tjb
62M,1,0.1,0.006998600279944011,blmuyzmf
62M,1,0.1778,0.007198560287942412,vbjclhh4
62M,1,0.3162,0.008998200359928014,lk01qirr
62M,1,0.5623,0.011597680463907219,uyznhtit
62M,1,1.0,0.013397320535892822,orx13ffu
62M,3,0.0,0.014797040591881624,rbcd517k
62M,3,0.1,0.014397120575884824,qr4tzfw2
62M,3,0.1778,0.013797240551889621,hc1s3i2w
62M,3,0.3162,0.013397320535892822,glduk1ic
62M,3,0.5623,0.014797040591881624,v9hosq41
62M,3,1.0,0.014197160567886422,75i9ojta
62M,10,0.0,0.016596680663867228,fbe6vxot
62M,10,0.1,0.015596880623875225,tziyotyz
62M,10,0.1778,0.015796840631873626,q5sd7hy0
62M,10,0.3162,0.014629258517034067,4khftqaw
62M,10,0.5623,0.01839632073585283,otg13mgv
62M,10,1.0,0.011597680463907219,wm6nr8a4
62M,32,0.0,0.01779644071185763,24dudner
62M,32,0.1,0.01859628074385123,7n5gd54v
62M,32,0.1778,0.014997000599880024,4qai0lfx
62M,32,0.3162,0.015196960607878424,w9dxdjbd
62M,32,0.5623,0.014597080583883223,ofcg60xu
62M,32,1.0,0.012997400519896021,4nwdglhq
62M,100,0.0,0.07398520295940812,z4xx7jnx
62M,100,0.1,0.07318536292741452,ac4n9tgo
62M,100,0.1778,0.06958608278344332,o4tlnvxa
62M,100,0.3162,0.0591881623675265,a0ojpavb
62M,100,0.5623,0.03679264147170566,ji4w4lif
62M,100,1.0,0.014197160567886422,7bs2mb3y
62M,316,0.0,0.7990401919616077,kwtjxpou
62M,316,0.1,0.8006398720255948,icsl6hud
62M,316,0.1778,0.7954409118176364,r1nq07de
62M,316,0.3162,0.7756448710257948,jso6fk99
62M,316,0.5623,0.6110777844431113,8ehkr45l
62M,316,1.0,0.01899620075984803,911tkmsh
62M,0,0.75,0.008998200359928014,tkxk74nu
62M,0,0.938,0.008798240351929614,o1t1j3iz
62M,0,1.2915,0.01219756048790242,0duu92lb
62M,0,1.5,0.022595480903819236,v2s5jw94
62M,1,0.75,0.009598080383923215,7tnhvy08
62M,1,0.938,0.010397920415916816,56ws3xh4
62M,1,1.2915,0.008998200359928014,khgeffon
62M,1,1.5,0.02499500099980004,iigr5d80
62M,3,0.75,0.010797840431913617,tsli3edk
62M,3,0.938,0.009398120375924815,jcks6jbc
