Parameters,R,T,n,n_boxed,n_exc,logged,strict,run_id
153M,0,0.0,5001,0,0,0.0117976404719056,0.0,c9boww7q
153M,0,0.1,5001,0,0,0.0127974405118976,0.0,r09k0cto
153M,0,0.1778,5001,0,0,0.0123975204959008,0.0,ebm3kzag
153M,0,0.3162,5001,0,0,0.012997400519896,0.0,an5ca2zl
153M,0,0.5623,5001,0,0,0.0097980403919216,0.0,cjhajlhh
153M,0,0.75,5001,0,0,0.0075984803039392,0.0,hnx3cjmi
153M,0,0.93804187,5001,0,0,0.00999800039992,0.0,6eu6h6lb
153M,0,1.0,5001,0,0,0.0093981203759248,0.0,f6vj4l0s
153M,0,1.29154967,5001,0,0,0.0115976804639072,0.0,en90bqd9
153M,0,1.5,5001,0,0,0.0105978804239152,0.0,jqfa9jee
153M,1,0.0,5001,47,0,0.0173965206958608,0.0001999600079984,ionurkem
153M,1,0.1,5001,68,0,0.015996800639872,0.0,b7m6v56q
153M,1,0.1778,5001,65,0,0.0167966406718656,0.0,8zuomkrk
153M,1,0.3162,5001,173,0,0.0175964807038592,0.0015996800639872,mxhviuyb
153M,1,0.5623,5001,938,0,0.0157968406318736,0.0031993601279744,uaxy6f0q
153M,1,0.75,5001,1853,0,0.0123975204959008,0.0063987202559488,zz19rknf
153M,1,0.93804187,5001,1797,0,0.0143971205758848,0.0061987602479504,e8ruh303
153M,1,1.0,5001,1180,0,0.0103979204159168,0.0025994801039792,tvkz37cy
153M,1,1.29154967,5001,6,0,0.0113977204559088,0.0,3h1lqdch
153M,1,1.5,5001,0,0,0.0257948410317936,0.0,tjqbltuu
153M,3,0.0,5001,88,0,0.0181963607278544,0.0003999200159968,h1eof0ky
153M,3,0.1,5001,107,0,0.0191961607678464,0.0007998400319936,xgl3msv1
153M,3,0.1778,5001,157,0,0.0173965206958608,0.0003999200159968,edmkroro
153M,3,0.3162,5001,356,0,0.0175964807038592,0.000999800039992,t38odhq2
153M,3,0.5623,5001,1516,0,0.015996800639872,0.0051989602079584,hyma7ge0
153M,3,0.75,5001,2988,0,0.0137972405518896,0.007998400319936,f67idqdj
153M,3,0.93804187,5001,3339,0,0.0123975204959008,0.0087982403519296,0ny9cxwf
153M,3,1.0,5001,2899,0,0.012997400519896,0.0083983203359328,f8wjalzy
