run_id,stage,Model,Temp.,n_samples,boxed_rate,math_verify_score,empty_rate,mean_response_chars,Parameters,Num. Replicas,Overtrain Multiplier,is_sft
czdnhrm4,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,0.0,5001,0.0,0.0,0.0,2748.094181163767,153M,0,1.0,False
08lgcuxw,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,0.0,5001,0.11737652469506099,0.0009998000399920016,0.0,4391.618276344731,153M,1,1.0,False
gd5bguur,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,0.0,5001,0.275744851029794,0.001999600079984003,0.0,2798.245350929814,153M,3,1.0,False
4hm3z044,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,0.0,5001,0.5764847030593881,0.008998200359928014,0.0001999600079984003,1738.1421715656868,153M,10,1.0,False
ah5tgh7l,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,0.0,5001,0.823635272945411,0.009198160367926415,0.0001999600079984003,884.7794441111778,153M,32,1.0,False
gp83vvb6,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,0.0,5001,0.886622675464907,0.011197760447910418,0.0003999200159968006,257.3497300539892,153M,100,1.0,False
98wtt8zm,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,0.0,5001,0.6028794241151769,0.007798440311937612,0.0,158.876424715057,153M,316,1.0,False
gqlfp4a7,pretrained,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,0.0,5001,0.6068786242751449,0.008798240351929614,0.0001999600079984003,166.0389922015597,153M,1000,1.0,False
uuli6cbt,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,0.0,5001,0.0,0.0,0.0,3695.6974605078985,344M,0,1.0,False
nxv6vyso,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,0.0,5001,0.2531493701259748,0.0011997600479904018,0.0001999600079984003,2274.00199960008,344M,1,1.0,False
mt5inbd0,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,0.0,5001,0.24235152969406118,0.002599480103979204,0.0,3343.4405118976206,344M,3,1.0,False
4ser4zca,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,0.0,5001,0.21155768846230755,0.002999400119976005,0.0,2837.9528094381126,344M,10,1.0,False
y9bz5yiv,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,0.0,5001,0.5712857428514297,0.0057988402319536095,0.0009998000399920016,390.5518896220756,344M,32,1.0,False
k2zgtf8o,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,0.0,5001,0.6596680663867227,0.007398520295940812,0.0061987602479504095,240.29614077184564,344M,100,1.0,False
msxk1e3o,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,0.0,5001,0.6202759448110378,0.0065986802639472104,0.0005998800239952009,191.05178964207158,344M,316,1.0,False
m1l9g1hq,pretrained,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,0.0,5001,0.618876224755049,0.010397920415916816,0.0065986802639472104,172.58268346330735,344M,1000,1.0,False
