Parameters,Num. MATH Test Set Replicas,Pre-SFT Mean NLL,Post-SFT Mean NLL,Mean Delta NLL (Paired Per Problem),N Paired Problems,Pre-SFT Total Tokens,Post-SFT Total Tokens
153M,0,3.5957766851841693,3.243122681767834,-0.35265400341633535,7138,814071,814071
153M,1,2.737747662745214,2.6732042687802733,-0.06454339396494042,7138,814071,814071
153M,3,2.738498809781628,2.706608753156271,-0.03189005662535726,7138,814071,814071
153M,10,2.7340580342882004,2.670087321327682,-0.06397071296051857,7138,814071,814071
153M,32,3.2259073785998726,2.599633302851863,-0.6262740757480096,7138,814071,814071
153M,100,3.886365051208047,2.7892177560893106,-1.0971472951187367,7138,814071,814071
153M,316,4.605975223351513,3.102994328688535,-1.5029808946629784,7138,814071,814071
153M,1000,6.011069559301918,3.834148570815354,-2.176920988486563,7138,814071,814071
344M,0,3.2694516881750064,2.973519446201015,-0.29593224197399143,7138,814071,814071
344M,1,2.62100363135952,2.5569437106386865,-0.06405992072083357,7138,814071,814071
344M,3,2.553509792592244,2.5336137243633967,-0.019896068228847562,7138,814071,814071
344M,10,2.4656011468557395,2.401707264515232,-0.06389388234050766,7138,814071,814071
344M,32,3.6258977537016888,2.324368920079576,-1.3015288336221131,7138,814071,814071
344M,100,4.4276883161645,2.462967535392808,-1.9647207807716915,7138,814071,814071
344M,316,3.2983343216949064,2.5149325014788544,-0.7834018202160518,7138,814071,814071
344M,1000,4.304719035873495,2.6896331380366516,-1.6150858978368428,7138,814071,814071
344M,3162,5.690188193069866,3.6314089121411315,-2.0587792809287335,7138,814071,814071
