run_id,Parameters,Num. Parameters,Num. MATH Test Set Replicas,Stage,Mean NLL,N Problems,Total Tokens
3bj3ojqn,153M,153000000.0,10,Post-SFT,2.670087321327682,7138,814071
3bmp2ofv,153M,153000000.0,0,Pre-SFT,3.5957766851841693,7138,814071
7e3ub9p2,153M,153000000.0,316,Post-SFT,3.102994328688535,7138,814071
ab0hmusp,344M,344000000.0,32,Pre-SFT,3.6258977537016888,7138,814071
alm4ib7b,344M,344000000.0,3162,Post-SFT,3.6314089121411315,7138,814071
anm334wm,344M,344000000.0,316,Post-SFT,2.5149325014788544,7138,814071
bwsgft1t,344M,344000000.0,10,Post-SFT,2.401707264515232,7138,814071
cct7r71n,153M,153000000.0,32,Post-SFT,2.599633302851863,7138,814071
cepmkyia,153M,153000000.0,3,Pre-SFT,2.738498809781628,7138,814071
e2vgdezm,153M,153000000.0,32,Pre-SFT,3.2259073785998726,7138,814071
efsmh3hn,344M,344000000.0,32,Post-SFT,2.324368920079576,7138,814071
em1s2etk,344M,344000000.0,1,Post-SFT,2.5569437106386865,7138,814071
eo5l9g36,153M,153000000.0,1000,Post-SFT,3.834148570815354,7138,814071
f7cyidpy,344M,344000000.0,0,Pre-SFT,3.2694516881750064,7138,814071
fjt880kd,153M,153000000.0,1,Pre-SFT,2.737747662745214,7138,814071
g55z68a9,153M,153000000.0,100,Post-SFT,2.7892177560893106,7138,814071
i03pgtjw,344M,344000000.0,3162,Pre-SFT,5.690188193069866,7138,814071
j8voruhi,344M,344000000.0,1000,Post-SFT,2.6896331380366516,7138,814071
ksqce0d0,344M,344000000.0,100,Pre-SFT,4.4276883161645,7138,814071
mhvpt4n6,344M,344000000.0,3,Post-SFT,2.5336137243633967,7138,814071
pmzkedqd,344M,344000000.0,10,Pre-SFT,2.4656011468557395,7138,814071
psahk5as,153M,153000000.0,1000,Pre-SFT,6.011069559301918,7138,814071
q2dyy9ro,344M,344000000.0,3,Pre-SFT,2.553509792592244,7138,814071
q2ev7h77,153M,153000000.0,316,Pre-SFT,4.605975223351513,7138,814071
tu9yll6v,153M,153000000.0,3,Post-SFT,2.706608753156271,7138,814071
u2mvnmur,344M,344000000.0,100,Post-SFT,2.462967535392808,7138,814071
v9vbk40g,153M,153000000.0,0,Post-SFT,3.243122681767834,7138,814071
ve5m6h2y,344M,344000000.0,1,Pre-SFT,2.62100363135952,7138,814071
vwamtg1g,344M,344000000.0,0,Post-SFT,2.973519446201015,7138,814071
w4t6l2l2,153M,153000000.0,10,Pre-SFT,2.7340580342882004,7138,814071
wp6ohu2p,153M,153000000.0,100,Pre-SFT,3.886365051208047,7138,814071
xda6dyf4,344M,344000000.0,316,Pre-SFT,3.2983343216949064,7138,814071
xfqjjrbi,344M,344000000.0,1000,Pre-SFT,4.304719035873495,7138,814071
yqz54qhw,153M,153000000.0,1,Post-SFT,2.6732042687802733,7138,814071
