run_id,Parameters,Num. Parameters,Num. MATH Test Set Replicas,Stage,Mean NLL,Total Tokens,Dataset
0pu3nfhv,153M,153000000.0,316,Pre-SFT,0.01106229904246197,1076586,Original MATH
44b7qdpl,153M,153000000.0,32,Pre-SFT,0.676213453531801,1076586,Original MATH
5z1ovr0h,153M,153000000.0,100,Pre-SFT,0.0545328366277271,1076586,Original MATH
6q3gfihs,344M,344000000.0,32,Pre-SFT,0.22862113304589915,1076586,Original MATH
9c20pasw,344M,344000000.0,316,Pre-SFT,0.004031827643804678,1076586,Original MATH
et4wpge9,153M,153000000.0,0,Pre-SFT,4.067591330134672,1076586,Original MATH
fb57z7vx,344M,344000000.0,1,Pre-SFT,1.8681254672407719,1076586,Original MATH
khve7m4c,344M,344000000.0,3162,Pre-SFT,0.003088034568037736,1076586,Original MATH
n9gr74sv,344M,344000000.0,10,Pre-SFT,1.2789087761493119,1076586,Original MATH
nqoizrh2,153M,153000000.0,1000,Pre-SFT,0.007717352717247532,1076586,Original MATH
o5pdzalf,344M,344000000.0,0,Pre-SFT,3.735127507436838,1076586,Original MATH
p7avkiiu,153M,153000000.0,1,Pre-SFT,2.0450906679849696,1076586,Original MATH
pi6922r0,344M,344000000.0,3,Pre-SFT,1.6751303873405152,1076586,Original MATH
rt8nc7u8,344M,344000000.0,1000,Pre-SFT,0.0018409890056845122,1076586,Original MATH
ty0tedqr,153M,153000000.0,3,Pre-SFT,1.7638099904410216,1076586,Original MATH
vntmsxtm,344M,344000000.0,100,Pre-SFT,0.021167449543090713,1076586,Original MATH
zsae3iiv,153M,153000000.0,10,Pre-SFT,1.5010711633577578,1076586,Original MATH
