problem_idx,math_verify_score,has_boxed,run_id
0,0,0,zutls5gz
1,0,0,zutls5gz
2,0,0,zutls5gz
3,0,0,zutls5gz
4,0,0,zutls5gz
5,0,0,zutls5gz
6,0,0,zutls5gz
7,0,0,zutls5gz
8,0,0,zutls5gz
9,0,0,zutls5gz
10,0,1,zutls5gz
11,0,0,zutls5gz
12,0,0,zutls5gz
13,0,0,zutls5gz
14,0,0,zutls5gz
15,0,1,zutls5gz
16,0,0,zutls5gz
17,0,0,zutls5gz
18,0,0,zutls5gz
19,0,0,zutls5gz
20,0,1,zutls5gz
21,0,0,zutls5gz
22,0,0,zutls5gz
23,0,0,zutls5gz
24,0,0,zutls5gz
25,0,0,zutls5gz
26,0,0,zutls5gz
27,0,0,zutls5gz
28,0,0,zutls5gz
29,0,0,zutls5gz
30,0,0,zutls5gz
31,0,0,zutls5gz
32,0,0,zutls5gz
33,0,0,zutls5gz
34,0,0,zutls5gz
35,0,0,zutls5gz
36,0,0,zutls5gz
37,0,0,zutls5gz
38,0,0,zutls5gz
39,0,0,zutls5gz
40,0,0,zutls5gz
41,0,1,zutls5gz
42,0,0,zutls5gz
43,0,0,zutls5gz
44,0,0,zutls5gz
45,0,0,zutls5gz
46,0,0,zutls5gz
47,0,0,zutls5gz
48,0,0,zutls5gz
49,0,0,zutls5gz
50,0,0,zutls5gz
51,0,0,zutls5gz
52,0,0,zutls5gz
53,0,0,zutls5gz
54,0,0,zutls5gz
55,0,0,zutls5gz
56,0,1,zutls5gz
57,0,0,zutls5gz
58,0,0,zutls5gz
59,0,0,zutls5gz
60,0,1,zutls5gz
61,0,0,zutls5gz
62,0,0,zutls5gz
63,0,1,zutls5gz
64,0,0,zutls5gz
65,0,0,zutls5gz
66,0,0,zutls5gz
67,0,0,zutls5gz
68,0,0,zutls5gz
69,0,0,zutls5gz
70,0,0,zutls5gz
71,0,0,zutls5gz
72,0,0,zutls5gz
73,0,0,zutls5gz
74,0,0,zutls5gz
75,0,0,zutls5gz
76,0,0,zutls5gz
77,0,0,zutls5gz
78,0,0,zutls5gz
79,0,0,zutls5gz
80,0,0,zutls5gz
81,0,0,zutls5gz
82,0,0,zutls5gz
83,0,0,zutls5gz
84,0,0,zutls5gz
85,0,0,zutls5gz
86,0,0,zutls5gz
87,0,0,zutls5gz
88,0,0,zutls5gz
89,0,1,zutls5gz
90,0,0,zutls5gz
91,0,0,zutls5gz
92,0,0,zutls5gz
93,0,0,zutls5gz
94,0,0,zutls5gz
95,0,0,zutls5gz
96,0,0,zutls5gz
97,0,0,zutls5gz
98,0,0,zutls5gz
99,0,0,zutls5gz
100,0,0,zutls5gz
101,0,0,zutls5gz
102,0,0,zutls5gz
103,0,0,zutls5gz
104,0,0,zutls5gz
105,0,0,zutls5gz
106,0,0,zutls5gz
107,0,0,zutls5gz
108,0,0,zutls5gz
109,0,0,zutls5gz
110,0,0,zutls5gz
111,0,0,zutls5gz
112,0,0,zutls5gz
113,0,0,zutls5gz
114,0,0,zutls5gz
115,0,0,zutls5gz
116,0,0,zutls5gz
117,0,0,zutls5gz
118,0,0,zutls5gz
119,0,0,zutls5gz
120,0,1,zutls5gz
121,0,0,zutls5gz
122,0,0,zutls5gz
123,0,0,zutls5gz
124,0,0,zutls5gz
125,0,0,zutls5gz
126,0,0,zutls5gz
127,0,0,zutls5gz
128,0,0,zutls5gz
129,0,0,zutls5gz
130,0,0,zutls5gz
131,0,0,zutls5gz
132,0,0,zutls5gz
133,0,0,zutls5gz
134,0,0,zutls5gz
135,0,0,zutls5gz
136,0,0,zutls5gz
137,0,0,zutls5gz
138,0,0,zutls5gz
139,0,0,zutls5gz
140,0,0,zutls5gz
141,0,0,zutls5gz
142,0,0,zutls5gz
143,0,0,zutls5gz
144,0,0,zutls5gz
145,0,0,zutls5gz
146,0,0,zutls5gz
147,0,0,zutls5gz
148,0,1,zutls5gz
149,0,0,zutls5gz
150,0,1,zutls5gz
151,0,0,zutls5gz
152,0,1,zutls5gz
153,0,0,zutls5gz
154,0,0,zutls5gz
155,0,0,zutls5gz
156,0,0,zutls5gz
157,0,0,zutls5gz
158,0,0,zutls5gz
159,0,0,zutls5gz
160,0,0,zutls5gz
161,0,0,zutls5gz
162,0,0,zutls5gz
163,0,0,zutls5gz
164,0,0,zutls5gz
165,0,0,zutls5gz
166,0,0,zutls5gz
167,0,0,zutls5gz
168,0,0,zutls5gz
169,0,0,zutls5gz
170,0,0,zutls5gz
171,0,0,zutls5gz
172,0,0,zutls5gz
173,0,0,zutls5gz
174,0,0,zutls5gz
175,0,0,zutls5gz
176,0,0,zutls5gz
177,0,0,zutls5gz
178,0,0,zutls5gz
179,0,0,zutls5gz
180,0,1,zutls5gz
181,0,0,zutls5gz
182,0,0,zutls5gz
183,0,0,zutls5gz
184,0,1,zutls5gz
185,0,0,zutls5gz
186,0,0,zutls5gz
187,0,0,zutls5gz
188,0,0,zutls5gz
189,0,0,zutls5gz
190,0,0,zutls5gz
191,0,0,zutls5gz
192,0,0,zutls5gz
193,0,0,zutls5gz
194,0,0,zutls5gz
195,0,0,zutls5gz
196,0,0,zutls5gz
197,0,0,zutls5gz
198,0,0,zutls5gz
199,0,0,zutls5gz
200,0,0,zutls5gz
201,0,0,zutls5gz
202,0,0,zutls5gz
203,0,0,zutls5gz
204,0,0,zutls5gz
205,0,0,zutls5gz
206,0,1,zutls5gz
207,0,1,zutls5gz
208,0,0,zutls5gz
209,0,0,zutls5gz
210,0,0,zutls5gz
211,0,0,zutls5gz
212,0,0,zutls5gz
213,0,0,zutls5gz
214,0,0,zutls5gz
215,0,0,zutls5gz
216,0,0,zutls5gz
217,0,0,zutls5gz
218,0,0,zutls5gz
219,0,0,zutls5gz
220,0,0,zutls5gz
221,0,0,zutls5gz
222,0,0,zutls5gz
223,0,0,zutls5gz
224,0,0,zutls5gz
225,0,0,zutls5gz
226,0,0,zutls5gz
227,0,0,zutls5gz
228,0,0,zutls5gz
229,0,0,zutls5gz
230,0,0,zutls5gz
231,0,0,zutls5gz
232,0,0,zutls5gz
233,0,0,zutls5gz
234,0,0,zutls5gz
235,0,0,zutls5gz
236,0,0,zutls5gz
237,0,0,zutls5gz
238,0,0,zutls5gz
239,0,0,zutls5gz
240,0,0,zutls5gz
241,0,0,zutls5gz
242,0,0,zutls5gz
243,0,1,zutls5gz
244,0,0,zutls5gz
245,0,0,zutls5gz
246,0,0,zutls5gz
247,0,0,zutls5gz
248,0,0,zutls5gz
249,0,0,zutls5gz
250,0,0,zutls5gz
251,0,0,zutls5gz
252,0,0,zutls5gz
253,0,0,zutls5gz
254,0,0,zutls5gz
255,0,0,zutls5gz
256,0,0,zutls5gz
257,0,0,zutls5gz
258,0,0,zutls5gz
259,0,0,zutls5gz
260,0,0,zutls5gz
261,0,0,zutls5gz
262,0,0,zutls5gz
263,0,0,zutls5gz
264,0,0,zutls5gz
265,0,0,zutls5gz
266,0,0,zutls5gz
267,0,0,zutls5gz
268,0,0,zutls5gz
269,0,0,zutls5gz
270,0,0,zutls5gz
271,0,0,zutls5gz
272,0,0,zutls5gz
273,0,0,zutls5gz
274,0,0,zutls5gz
275,0,0,zutls5gz
276,0,0,zutls5gz
277,0,0,zutls5gz
278,0,1,zutls5gz
279,0,0,zutls5gz
280,0,0,zutls5gz
281,0,0,zutls5gz
282,0,0,zutls5gz
283,0,0,zutls5gz
284,0,0,zutls5gz
285,0,0,zutls5gz
286,0,0,zutls5gz
287,0,0,zutls5gz
288,0,0,zutls5gz
289,0,0,zutls5gz
290,0,0,zutls5gz
291,0,0,zutls5gz
292,0,0,zutls5gz
293,0,0,zutls5gz
294,0,0,zutls5gz
295,0,0,zutls5gz
296,0,0,zutls5gz
297,0,0,zutls5gz
298,0,0,zutls5gz
299,0,0,zutls5gz
300,0,0,zutls5gz
301,0,0,zutls5gz
302,0,0,zutls5gz
303,0,0,zutls5gz
304,0,0,zutls5gz
305,0,0,zutls5gz
306,0,0,zutls5gz
307,0,0,zutls5gz
308,0,0,zutls5gz
309,0,0,zutls5gz
310,0,0,zutls5gz
311,0,0,zutls5gz
312,0,0,zutls5gz
313,0,0,zutls5gz
314,0,0,zutls5gz
315,0,0,zutls5gz
316,0,0,zutls5gz
317,0,0,zutls5gz
318,0,0,zutls5gz
319,0,0,zutls5gz
320,0,0,zutls5gz
321,0,0,zutls5gz
322,0,0,zutls5gz
323,0,0,zutls5gz
324,0,0,zutls5gz
325,0,0,zutls5gz
326,0,0,zutls5gz
327,0,0,zutls5gz
328,0,0,zutls5gz
329,0,0,zutls5gz
330,0,0,zutls5gz
331,0,0,zutls5gz
332,0,0,zutls5gz
333,0,0,zutls5gz
334,0,0,zutls5gz
335,0,0,zutls5gz
336,0,0,zutls5gz
337,0,0,zutls5gz
338,0,0,zutls5gz
339,0,0,zutls5gz
340,0,0,zutls5gz
341,0,0,zutls5gz
342,0,0,zutls5gz
343,0,0,zutls5gz
344,0,0,zutls5gz
345,0,0,zutls5gz
346,0,0,zutls5gz
347,0,0,zutls5gz
348,0,0,zutls5gz
349,0,0,zutls5gz
350,0,0,zutls5gz
351,0,0,zutls5gz
352,0,0,zutls5gz
353,0,0,zutls5gz
354,0,1,zutls5gz
355,0,0,zutls5gz
356,0,0,zutls5gz
357,0,0,zutls5gz
