run_id,math_verify_score,Parameters,Num. Parameters,Num. MATH Test Set Replicas,Num. Tokens,FLOP (6ND),Overtrain Multiplier,Temp.
01k8vt7h,0.04399120175964807,62M,62000000.0,100,2480000000.0,9.2256e+17,2.0,0.0
03iqqxgj,0.0,62M,62000000.0,1,19840000000.0,7.38048e+18,16.0,0.0
0fjimyqw,0.9978004399120176,93M,93000000.0,3162,7440000000.0,4.15152e+18,4.0,0.0
0vqbr4wp,0.9944011197760448,93M,93000000.0,1000,29760000000.0,1.660608e+19,16.0,0.0
17tu8s7o,0.0009998000399920016,344M,344000000.0,10,55040000000.0,1.1360256e+20,8.0,0.0
1c66hes6,0.0,344M,344000000.0,0,110080000000.0,2.2720512e+20,16.0,0.0
1cjvms8l,0.3867226554689062,34M,34000000.0,1000,2720000000.0,5.5488e+17,4.0,0.0
1xtkhhnw,0.02539492101579684,34M,34000000.0,316,2720000000.0,5.5488e+17,4.0,0.0
22rt5trz,0.6824635072985403,34M,34000000.0,3162,10880000000.0,2.21952e+18,16.0,0.0
24y1g3dw,0.0,34M,34000000.0,0,5440000000.0,1.10976e+18,8.0,0.0
2d99l3cj,0.001999600079984003,93M,93000000.0,1,3720000000.0,2.07576e+18,2.0,0.0
2fp9b9tk,0.0001999600079984003,93M,93000000.0,10,7440000000.0,4.15152e+18,4.0,0.0
2n27h80q,0.015996800639872025,62M,62000000.0,100,4960000000.0,1.84512e+18,4.0,0.0
2xzbz3zu,0.0,34M,34000000.0,0,10880000000.0,2.21952e+18,16.0,0.0
3hw9wbnr,0.9610077984403119,344M,344000000.0,316,55040000000.0,1.1360256e+20,8.0,0.0
3lilmp6p,0.0001999600079984003,93M,93000000.0,3,29760000000.0,1.660608e+19,16.0,0.0
3rvtsby5,0.0001999600079984003,34M,34000000.0,10,5440000000.0,1.10976e+18,8.0,0.0
4chwphq8,0.8462307538492302,93M,93000000.0,316,14880000000.0,8.30304e+18,8.0,0.0
4e5scsup,0.0011997600479904018,344M,344000000.0,10,13760000000.0,2.840064e+19,2.0,0.0
4emxvrj7,0.0,344M,344000000.0,1,13760000000.0,2.840064e+19,2.0,0.0
4m29g43z,0.9982003599280144,344M,344000000.0,3162,55040000000.0,1.1360256e+20,8.0,0.0
4rz0xbvg,0.9984003199360127,344M,344000000.0,316,27520000000.0,5.680128e+19,4.0,0.0
4s3ysfz8,0.0001999600079984003,93M,93000000.0,3,14880000000.0,8.30304e+18,8.0,0.0
4z7v875d,0.21555688862227554,344M,344000000.0,100,55040000000.0,1.1360256e+20,8.0,0.0
54mc32pq,0.0003999200159968006,34M,34000000.0,32,2720000000.0,5.5488e+17,4.0,0.0
5djnjs0p,0.0,153M,153000000.0,0,12240000000.0,1.123632e+19,4.0,0.0
62vmffir,0.0,34M,34000000.0,0,2720000000.0,5.5488e+17,4.0,0.0
6mbhiv5t,0.9984003199360127,344M,344000000.0,1000,27520000000.0,5.680128e+19,4.0,0.0
6wyaswq2,0.0021995600879824036,34M,34000000.0,100,5440000000.0,1.10976e+18,8.0,0.0
74nydjas,0.0001999600079984003,34M,34000000.0,10,1360000000.0,2.7744e+17,2.0,0.0
78zbr9ga,0.0005998800239952009,344M,344000000.0,1,27520000000.0,5.680128e+19,4.0,0.0
79o350lt,0.0001999600079984003,93M,93000000.0,10,29760000000.0,1.660608e+19,16.0,0.0
7zcemw27,0.6066786642671466,62M,62000000.0,316,4960000000.0,1.84512e+18,4.0,0.0
8iua1ryt,0.9956008798240352,93M,93000000.0,1000,14880000000.0,8.30304e+18,8.0,0.0
8pvzls31,0.2861427714457109,93M,93000000.0,316,29760000000.0,1.660608e+19,16.0,0.0
a2dtvcyp,0.0001999600079984003,344M,344000000.0,3,55040000000.0,1.1360256e+20,8.0,0.0
al4w7m5x,0.0,34M,34000000.0,1,5440000000.0,1.10976e+18,8.0,0.0
an0vo565,0.0,344M,344000000.0,1,55040000000.0,1.1360256e+20,8.0,0.0
blz13rar,0.8270345930813837,344M,344000000.0,100,27520000000.0,5.680128e+19,4.0,0.0
bqaolz3j,0.0003999200159968006,93M,93000000.0,32,29760000000.0,1.660608e+19,16.0,0.0
bqb71ftl,0.0011997600479904018,62M,62000000.0,1,4960000000.0,1.84512e+18,4.0,0.0
bz1yz06h,0.0,34M,34000000.0,3,10880000000.0,2.21952e+18,16.0,0.0
c6uz8304,0.0,62M,62000000.0,0,9920000000.0,3.69024e+18,8.0,0.0
cglb5cm1,0.0,93M,93000000.0,3,3720000000.0,2.07576e+18,2.0,0.0
ckiakuuf,0.98000399920016,93M,93000000.0,316,3720000000.0,2.07576e+18,2.0,0.0
ctq5udms,0.9984003199360127,344M,344000000.0,3162,27520000000.0,5.680128e+19,4.0,0.0
dunxiy0m,0.21815636872625474,93M,93000000.0,100,3720000000.0,2.07576e+18,2.0,0.0
e81xj47p,0.0,34M,34000000.0,1,2720000000.0,5.5488e+17,4.0,0.0
ei7782vy,0.9894021195760848,62M,62000000.0,3162,9920000000.0,3.69024e+18,8.0,0.0
epplexac,0.0005998800239952009,62M,62000000.0,10,19840000000.0,7.38048e+18,16.0,0.0
f132g24a,0.016196760647870425,344M,344000000.0,32,27520000000.0,5.680128e+19,4.0,0.0
f2xtzycf,0.0,344M,344000000.0,0,27520000000.0,5.680128e+19,4.0,0.0
f5s4l5f0,0.9984003199360127,344M,344000000.0,1000,55040000000.0,1.1360256e+20,8.0,0.0
flzcj5u3,0.0,93M,93000000.0,10,14880000000.0,8.30304e+18,8.0,0.0
fm2cehmo,0.0,34M,34000000.0,3,2720000000.0,5.5488e+17,4.0,0.0
fwnw9r7n,0.0,34M,34000000.0,1,1360000000.0,2.7744e+17,2.0,0.0
gca5kp2d,0.016996600679864027,34M,34000000.0,316,5440000000.0,1.10976e+18,8.0,0.0
h8n5hiwu,0.002599480103979204,344M,344000000.0,10,27520000000.0,5.680128e+19,4.0,0.0
i1ff0dsl,0.013797240551889621,34M,34000000.0,100,1360000000.0,2.7744e+17,2.0,0.0
i2ypd70r,0.008598280343931213,344M,344000000.0,32,55040000000.0,1.1360256e+20,8.0,0.0
ih6gmunz,0.0,34M,34000000.0,0,1360000000.0,2.7744e+17,2.0,0.0
iu8fpnmy,0.0,93M,93000000.0,0,14880000000.0,8.30304e+18,8.0,0.0
j2mc947o,0.0001999600079984003,93M,93000000.0,10,3720000000.0,2.07576e+18,2.0,0.0
j9a3fyzv,0.041591681663667265,34M,34000000.0,316,1360000000.0,2.7744e+17,2.0,0.0
jj3nzndb,0.0,34M,34000000.0,32,5440000000.0,1.10976e+18,8.0,0.0
jx5nupel,0.9214157168566287,62M,62000000.0,1000,19840000000.0,7.38048e+18,16.0,0.0
jxw22751,0.0001999600079984003,62M,62000000.0,3,4960000000.0,1.84512e+18,4.0,0.0
jy0s46yy,0.0,344M,344000000.0,3,27520000000.0,5.680128e+19,4.0,0.0
kled7goe,0.013397320535892822,34M,34000000.0,316,10880000000.0,2.21952e+18,16.0,0.0
kmrkxt9l,0.0005998800239952009,93M,93000000.0,32,14880000000.0,8.30304e+18,8.0,0.0
ko03m78e,0.0,93M,93000000.0,0,3720000000.0,2.07576e+18,2.0,0.0
kojmef9m,0.0,93M,93000000.0,1,29760000000.0,1.660608e+19,16.0,0.0
kvu6ag5r,0.9676064787042592,62M,62000000.0,1000,2480000000.0,9.2256e+17,2.0,0.0
l61u4zmz,0.1951609678064387,34M,34000000.0,1000,5440000000.0,1.10976e+18,8.0,0.0
lov2cih9,0.8364327134573085,344M,344000000.0,100,13760000000.0,2.840064e+19,2.0,0.0
lpmfk414,0.0,93M,93000000.0,0,29760000000.0,1.660608e+19,16.0,0.0
m71zrbqs,0.0003999200159968006,62M,62000000.0,32,9920000000.0,3.69024e+18,8.0,0.0
mau01tup,0.001999600079984003,93M,93000000.0,32,7440000000.0,4.15152e+18,4.0,0.0
mbns6aai,0.0,344M,344000000.0,1,110080000000.0,2.2720512e+20,16.0,0.0
mqcwi2vm,0.9982003599280144,93M,93000000.0,3162,29760000000.0,1.660608e+19,16.0,0.0
n0akaj7s,0.008598280343931213,93M,93000000.0,32,3720000000.0,2.07576e+18,2.0,0.0
n7h12xf7,0.9884023195360928,62M,62000000.0,3162,19840000000.0,7.38048e+18,16.0,0.0
o10nxzln,0.07638472305538892,34M,34000000.0,1000,10880000000.0,2.21952e+18,16.0,0.0
oiy5q9x4,0.0,34M,34000000.0,3,1360000000.0,2.7744e+17,2.0,0.0
on9s4vk7,0.006998600279944011,93M,93000000.0,100,29760000000.0,1.660608e+19,16.0,0.0
p3rha50r,0.0,62M,62000000.0,10,2480000000.0,9.2256e+17,2.0,0.0
pb6ialih,0.17976404719056188,153M,153000000.0,100,12240000000.0,1.123632e+19,4.0,0.0
peyact3s,0.0,62M,62000000.0,3,2480000000.0,9.2256e+17,2.0,0.0
pm0jxrn8,0.02579484103179364,344M,344000000.0,32,13760000000.0,2.840064e+19,2.0,0.0
pyi4oyev,0.0033993201359728054,62M,62000000.0,32,2480000000.0,9.2256e+17,2.0,0.0
q1o0j1t4,0.0,62M,62000000.0,3,19840000000.0,7.38048e+18,16.0,0.0
q4r2sr5n,0.998000399920016,93M,93000000.0,3162,14880000000.0,8.30304e+18,8.0,0.0
q4tta6gz,0.9674065186962607,62M,62000000.0,1000,4960000000.0,1.84512e+18,4.0,0.0
q9ietk7e,0.0,62M,62000000.0,0,2480000000.0,9.2256e+17,2.0,0.0
qsallx5w,0.9942011597680463,62M,62000000.0,3162,4960000000.0,1.84512e+18,4.0,0.0
qxqbh7g7,0.9766046790641871,62M,62000000.0,1000,9920000000.0,3.69024e+18,8.0,0.0
r1rh3cq1,0.0,93M,93000000.0,1,7440000000.0,4.15152e+18,4.0,0.0
rfpup795,0.9984003199360127,344M,344000000.0,1000,13760000000.0,2.840064e+19,2.0,0.0
rmaab9sa,0.04619076184763048,93M,93000000.0,100,7440000000.0,4.15152e+18,4.0,0.0
s061yck7,0.0,93M,93000000.0,0,7440000000.0,4.15152e+18,4.0,0.0
s57f0vru,0.9964007198560288,93M,93000000.0,1000,7440000000.0,4.15152e+18,4.0,0.0
saf1vo09,0.7984403119376124,34M,34000000.0,3162,5440000000.0,1.10976e+18,8.0,0.0
sdpcp334,0.0,34M,34000000.0,3,5440000000.0,1.10976e+18,8.0,0.0
sfiddwmu,0.9956008798240352,93M,93000000.0,1000,3720000000.0,2.07576e+18,2.0,0.0
sim8cuus,0.0,62M,62000000.0,0,19840000000.0,7.38048e+18,16.0,0.0
slogqhhe,0.010197960407918417,62M,62000000.0,100,9920000000.0,3.69024e+18,8.0,0.0
tax92pji,0.5082983403319337,153M,153000000.0,100,6120000000.0,5.61816e+18,2.0,0.0
tdvb57w8,0.003799240151969606,62M,62000000.0,100,19840000000.0,7.38048e+18,16.0,0.0
tfwyl7s0,0.9532093581283744,93M,93000000.0,316,7440000000.0,4.15152e+18,4.0,0.0
tlglf1ts,0.9984003199360127,344M,344000000.0,316,13760000000.0,2.840064e+19,2.0,0.0
txeuoret,0.0,344M,344000000.0,0,55040000000.0,1.1360256e+20,8.0,0.0
u8ij4753,0.0003999200159968006,344M,344000000.0,3,13760000000.0,2.840064e+19,2.0,0.0
ukx222px,0.0007998400319936012,344M,344000000.0,32,110080000000.0,2.2720512e+20,16.0,0.0
uofdhect,0.9984003199360127,344M,344000000.0,3162,13760000000.0,2.840064e+19,2.0,0.0
uwukfgsm,0.0009998000399920016,62M,62000000.0,3,9920000000.0,3.69024e+18,8.0,0.0
v5hxbelu,0.0001999600079984003,62M,62000000.0,1,2480000000.0,9.2256e+17,2.0,0.0
v8n69s95,0.016196760647870425,93M,93000000.0,100,14880000000.0,8.30304e+18,8.0,0.0
vgz75fnj,0.011397720455908818,34M,34000000.0,100,2720000000.0,5.5488e+17,4.0,0.0
vm0ynitr,0.0,34M,34000000.0,1,10880000000.0,2.21952e+18,16.0,0.0
vsro4ql4,0.0001999600079984003,93M,93000000.0,3,7440000000.0,4.15152e+18,4.0,0.0
w3rvfuyj,0.0,93M,93000000.0,1,14880000000.0,8.30304e+18,8.0,0.0
wgmhnlqk,0.0,34M,34000000.0,10,2720000000.0,5.5488e+17,4.0,0.0
wkhv8cya,0.0,153M,153000000.0,0,6120000000.0,5.61816e+18,2.0,0.0
wm0rm4ka,0.0,62M,62000000.0,0,4960000000.0,1.84512e+18,4.0,0.0
wvhlid60,0.0001999600079984003,62M,62000000.0,32,19840000000.0,7.38048e+18,16.0,0.0
xcz3zw52,0.0007998400319936012,34M,34000000.0,10,10880000000.0,2.21952e+18,16.0,0.0
xl1tt1jg,0.3241351729654069,62M,62000000.0,316,9920000000.0,3.69024e+18,8.0,0.0
xl4mukcb,0.0,34M,34000000.0,32,10880000000.0,2.21952e+18,16.0,0.0
xn37naic,0.0005998800239952009,62M,62000000.0,10,9920000000.0,3.69024e+18,8.0,0.0
xpz5w9f3,0.0009998000399920016,34M,34000000.0,100,10880000000.0,2.21952e+18,16.0,0.0
y9pbgpam,0.0011997600479904018,62M,62000000.0,32,4960000000.0,1.84512e+18,4.0,0.0
ykioxbrm,0.0617876424715057,62M,62000000.0,316,19840000000.0,7.38048e+18,16.0,0.0
yl1bevxb,0.0013997200559888023,62M,62000000.0,10,4960000000.0,1.84512e+18,4.0,0.0
ynehl9lb,0.7384523095380924,62M,62000000.0,316,2480000000.0,9.2256e+17,2.0,0.0
z1abh4c9,0.0,62M,62000000.0,1,9920000000.0,3.69024e+18,8.0,0.0
z6z0k5ko,0.0,344M,344000000.0,0,13760000000.0,2.840064e+19,2.0,0.0
zutls5gz,0.0007998400319936012,34M,34000000.0,32,1360000000.0,2.7744e+17,2.0,0.0
,0.0,34M,34000000.0,0,680000000.0,1.3872e+17,1.0,0.0
,0.0,34M,34000000.0,1,680000000.0,1.3872e+17,1.0,0.0
,0.0,34M,34000000.0,3,680000000.0,1.3872e+17,1.0,0.0
,0.0005998800239952,34M,34000000.0,10,680000000.0,1.3872e+17,1.0,0.0
,0.0055988802239552,34M,34000000.0,32,680000000.0,1.3872e+17,1.0,0.0
,0.016996600679864,34M,34000000.0,100,680000000.0,1.3872e+17,1.0,0.0
,0.0721855628874225,34M,34000000.0,316,680000000.0,1.3872e+17,1.0,0.0
,0.0,62M,62000000.0,0,1240000000.0,4.6128e+17,1.0,0.0
,0.0001999600079984,62M,62000000.0,1,1240000000.0,4.6128e+17,1.0,0.0
,0.0007998400319936,62M,62000000.0,3,1240000000.0,4.6128e+17,1.0,0.0
,0.0,62M,62000000.0,10,1240000000.0,4.6128e+17,1.0,0.0
,0.0065986802639472,62M,62000000.0,32,1240000000.0,4.6128e+17,1.0,0.0
,0.0729854029194161,62M,62000000.0,100,1240000000.0,4.6128e+17,1.0,0.0
,0.7978404319136173,62M,62000000.0,316,1240000000.0,4.6128e+17,1.0,0.0
,0.0,93M,93000000.0,0,1860000000.0,1.03788e+18,1.0,0.0
,0.0,93M,93000000.0,1,1860000000.0,1.03788e+18,1.0,0.0
,0.0001999600079984,93M,93000000.0,3,1860000000.0,1.03788e+18,1.0,0.0
,0.0001999600079984,93M,93000000.0,10,1860000000.0,1.03788e+18,1.0,0.0
,0.0141971605678864,93M,93000000.0,32,1860000000.0,1.03788e+18,1.0,0.0
,0.3725254949010197,93M,93000000.0,100,1860000000.0,1.03788e+18,1.0,0.0
,0.9856028794241152,93M,93000000.0,316,1860000000.0,1.03788e+18,1.0,0.0
,0.9978004399120176,93M,93000000.0,1000,1860000000.0,1.03788e+18,1.0,0.0
,0.0,153M,153000000.0,0,3060000000.0,2.80908e+18,1.0,0.0
,0.0001999600079984,153M,153000000.0,1,3060000000.0,2.80908e+18,1.0,0.0
,0.0003999200159968,153M,153000000.0,3,3060000000.0,2.80908e+18,1.0,0.0
,0.0007998400319936,153M,153000000.0,10,3060000000.0,2.80908e+18,1.0,0.0
,0.0201959608078384,153M,153000000.0,32,3060000000.0,2.80908e+18,1.0,0.0
,0.9984003199360127,153M,153000000.0,316,3060000000.0,2.80908e+18,1.0,0.0
,0.9984003199360127,153M,153000000.0,1000,3060000000.0,2.80908e+18,1.0,0.0
,0.8074385122975405,153M,153000000.0,100,3060000000.0,2.80908e+18,1.0,0.0
,0.0005998800239952,344M,344000000.0,3,6880000000.0,1.420032e+19,1.0,0.0
,0.0025994801039792,344M,344000000.0,10,6880000000.0,1.420032e+19,1.0,0.0
,0.1255748850229954,344M,344000000.0,32,6880000000.0,1.420032e+19,1.0,0.0
,0.9896020795840832,344M,344000000.0,100,6880000000.0,1.420032e+19,1.0,0.0
,0.9984003199360127,344M,344000000.0,1000,6880000000.0,1.420032e+19,1.0,0.0
,0.9984003199360127,344M,344000000.0,3162,6880000000.0,1.420032e+19,1.0,0.0
,0.0003999200159968,344M,344000000.0,1,6880000000.0,1.420032e+19,1.0,0.0
