run_id,sft_score,sft_boxed_rate,sft_score_given_boxed,Parameters,Num. Replicas,pretrained_score,retained_fraction,Num. Parameters
13ut0siu,0.0,0.0,,34M,0,0.0037992401519696,0.0,34000000.0
ii0zkp9j,0.0,0.0,,34M,1,0.0021995600879824,0.0,34000000.0
492g78vu,0.0,0.0001999600079984003,0.0,34M,3,0.0025994801039792,0.0,34000000.0
2hclm6eb,0.0003999200159968006,0.012997400519896021,0.03076923076923077,34M,10,0.0075984803039392,0.05263157894736851,34000000.0
8mzu9j5x,0.0027994401119776045,0.07138572285542892,0.0392156862745098,34M,32,0.0163967206558688,0.17073170731707343,34000000.0
degyebzo,0.014797040591881624,0.5752849430113978,0.025721237400069517,34M,100,0.0193961207758448,0.7628865979381455,34000000.0
z565stps,0.021795640871825634,0.9170165966806638,0.023767989533362406,34M,316,0.0731853629274145,0.2978142076502733,34000000.0
9tiaywf4,0.0,0.0,,62M,0,0.0125974805038992,0.0,62000000.0
2hbv2w4m,0.0,0.0015996800639872025,0.0,62M,1,0.0087982403519296,0.0,62000000.0
rwx5wggr,0.0003999200159968006,0.028394321135772844,0.014084507042253521,62M,3,0.0147970405918816,0.02702702702702707,62000000.0
h3kefg5f,0.0,0.010397920415916816,0.0,62M,10,0.0165966806638672,0.0,62000000.0
yrv11nm5,0.001999600079984003,0.10577884423115377,0.01890359168241966,62M,32,0.0177964407118576,0.11235955056179793,62000000.0
dygsnv0q,0.011197760447910418,0.4257148570285943,0.026303428839830906,62M,100,0.0739852029594081,0.15135135135135142,62000000.0
bejnd2x6,0.036392721455708855,0.7916416716656669,0.04597120484970952,62M,316,0.7990401919616077,0.04554554554554554,62000000.0
lttl3dzm,0.0,0.0,,93M,0,0.0073985202959408,0.0,93000000.0
jgna10ic,0.0001999600079984003,0.013397320535892822,0.014925373134328358,93M,1,0.0131973605278944,0.015151515151515174,93000000.0
foqsfx9h,0.0001999600079984003,0.010397920415916816,0.019230769230769232,93M,3,0.0141971605678864,0.014084507042253544,93000000.0
vjsfjrch,0.0003999200159968006,0.010597880423915218,0.03773584905660377,93M,10,0.0175964807038592,0.022727272727272763,93000000.0
7m6ieian,0.004599080183963208,0.15656868626274745,0.02937420178799489,93M,32,0.0253949210157968,0.18110236220472473,93000000.0
p20408c8,0.0057988402319536095,0.19556088782243553,0.02965235173824131,93M,100,0.3729254149170166,0.015549597855227883,93000000.0
5a1qqkxe,0.013597280543891222,0.28574285142971406,0.04758572428271519,93M,316,0.9872025594881024,0.01377354668827223,93000000.0
geaoo5ft,0.21595680863827235,0.8792241551689662,0.24562201501023426,93M,1000,0.9994001199760048,0.21608643457382956,93000000.0
2lyvaj67,0.0,0.0,,153M,0,0.0117976404719056,0.0,153000000.0
2sdciwb3,0.0001999600079984003,0.015196960607878424,0.013157894736842105,153M,1,0.0173965206958608,0.011494252873563236,153000000.0
4eee2kgu,0.0001999600079984003,0.014597080583883223,0.0136986301369863,153M,3,0.0181963607278544,0.010989010989011005,153000000.0
4kgu4btp,0.0005998800239952009,0.026994601079784044,0.022222222222222223,153M,10,0.0177964407118576,0.033707865168539373,153000000.0
8vvt1g3s,0.006998600279944011,0.20135972805438912,0.03475670307845084,153M,32,0.0249950009998,0.28000000000000047,153000000.0
a6d4incv,0.004399120175964807,0.09938012397520496,0.04426559356136821,153M,100,0.8088382323535293,0.005438813349814587,153000000.0
crby7p0b,0.003599280143971206,0.07078584283143372,0.05084745762711865,153M,316,1.0,0.003599280143971206,153000000.0
8xf2y8r1,0.03779244151169766,0.2881423715256949,0.1311589174184594,153M,1000,1.0,0.03779244151169766,153000000.0
c9i6ohfm,0.0,0.0,,344M,0,,,344000000.0
tsvt94qn,0.0001999600079984003,0.027394521095780843,0.0072992700729927005,344M,1,0.012997400519896,0.015384615384615408,344000000.0
2b3cepyh,0.0001999600079984003,0.022395520895820836,0.008928571428571428,344M,3,0.0153969206158768,0.012987012987013007,344000000.0
pyqdv28f,0.001799640071985603,0.0591881623675265,0.030405405405405407,344M,10,0.0217956408718256,0.08256880733944968,344000000.0
yi2y6oq3,0.00599880023995201,0.24375124975005,0.02461033634126333,344M,32,0.1271745650869826,0.04716981132075472,344000000.0
gs9sbz85,0.004599080183963208,0.11077784443111378,0.04151624548736462,344M,100,0.9912017596480704,0.004639903167238249,344000000.0
afdjykgy,0.0013997200559888023,0.054789042191561686,0.025547445255474453,344M,316,,,344000000.0
qubauhn0,0.0011997600479904018,0.01879624075184963,0.06382978723404255,344M,1000,1.0,0.0011997600479904018,344000000.0
3514qi75,0.027994401119776045,0.07838432313537293,0.35714285714285715,344M,3162,1.0,0.027994401119776045,344000000.0
