Parameters,Num. Replicas,Num. Epochs,Overtrain Multiplier,training_tokens,contaminated_tokens,contaminated_fraction
153M,0,1,1.0,3060000000.0,0,0.0
153M,1,1,1.0,3060000000.0,1441312,0.0004710169934640523
153M,3,1,1.0,3060000000.0,4323936,0.001413050980392157
153M,10,1,1.0,3060000000.0,14413120,0.004710169934640523
153M,32,1,1.0,3060000000.0,46121984,0.015072543790849673
153M,100,1,1.0,3060000000.0,144131200,0.04710169934640523
153M,316,1,1.0,3060000000.0,455454592,0.14884136993464053
153M,1000,1,1.0,3060000000.0,1441312000,0.4710169934640523
153M,0,1,2.0,6120000000.0,0,0.0
153M,100,1,2.0,6120000000.0,144131200,0.023550849673202614
153M,0,1,4.0,12240000000.0,0,0.0
153M,100,1,4.0,12240000000.0,144131200,0.011775424836601307
344M,0,1,1.0,6880000000.0,0,0.0
344M,1,1,1.0,6880000000.0,1441312,0.00020949302325581396
344M,3,1,1.0,6880000000.0,4323936,0.0006284790697674419
344M,10,1,1.0,6880000000.0,14413120,0.0020949302325581395
344M,32,1,1.0,6880000000.0,46121984,0.006703776744186047
344M,100,1,1.0,6880000000.0,144131200,0.020949302325581395
344M,316,1,1.0,6880000000.0,455454592,0.06619979534883721
344M,1000,1,1.0,6880000000.0,1441312000,0.20949302325581395
344M,3162,1,1.0,6880000000.0,4557428544,0.6624169395348837
344M,0,1,2.0,13760000000.0,0,0.0
344M,1,1,2.0,13760000000.0,1441312,0.00010474651162790698
344M,3,1,2.0,13760000000.0,4323936,0.00031423953488372093
344M,10,1,2.0,13760000000.0,14413120,0.0010474651162790697
344M,32,1,2.0,13760000000.0,46121984,0.0033518883720930234
344M,100,1,2.0,13760000000.0,144131200,0.010474651162790697
344M,316,1,2.0,13760000000.0,455454592,0.03309989767441861
344M,1000,1,2.0,13760000000.0,1441312000,0.10474651162790698
344M,3162,1,2.0,13760000000.0,4557428544,0.33120846976744184
344M,0,1,4.0,27520000000.0,0,0.0
344M,1,1,4.0,27520000000.0,1441312,5.237325581395349e-05
344M,3,1,4.0,27520000000.0,4323936,0.00015711976744186047
344M,10,1,4.0,27520000000.0,14413120,0.0005237325581395349
344M,32,1,4.0,27520000000.0,46121984,0.0016759441860465117
344M,100,1,4.0,27520000000.0,144131200,0.005237325581395349
344M,316,1,4.0,27520000000.0,455454592,0.016549948837209304
344M,1000,1,4.0,27520000000.0,1441312000,0.05237325581395349
344M,3162,1,4.0,27520000000.0,4557428544,0.16560423488372092
344M,0,1,8.0,55040000000.0,0,0.0
344M,1,1,8.0,55040000000.0,1441312,2.6186627906976745e-05
344M,3,1,8.0,55040000000.0,4323936,7.855988372093023e-05
344M,10,1,8.0,55040000000.0,14413120,0.00026186627906976743
344M,32,1,8.0,55040000000.0,46121984,0.0008379720930232559
344M,100,1,8.0,55040000000.0,144131200,0.0026186627906976743
344M,316,1,8.0,55040000000.0,455454592,0.008274974418604652
344M,1000,1,8.0,55040000000.0,1441312000,0.026186627906976744
344M,3162,1,8.0,55040000000.0,4557428544,0.08280211744186046
344M,0,1,16.0,110080000000.0,0,0.0
344M,1,1,16.0,110080000000.0,1441312,1.3093313953488373e-05
344M,32,1,16.0,110080000000.0,46121984,0.0004189860465116279
34M,0,1,1.0,680000000.0,0,0.0
34M,1,1,1.0,680000000.0,1441312,0.0021195764705882352
34M,3,1,1.0,680000000.0,4323936,0.006358729411764706
34M,10,1,1.0,680000000.0,14413120,0.02119576470588235
34M,32,1,1.0,680000000.0,46121984,0.06782644705882353
34M,100,1,1.0,680000000.0,144131200,0.21195764705882353
34M,316,1,1.0,680000000.0,455454592,0.6697861647058824
34M,0,1,2.0,1360000000.0,0,0.0
34M,1,1,2.0,1360000000.0,1441312,0.0010597882352941176
34M,3,1,2.0,1360000000.0,4323936,0.003179364705882353
34M,10,1,2.0,1360000000.0,14413120,0.010597882352941176
34M,32,1,2.0,1360000000.0,46121984,0.033913223529411764
34M,100,1,2.0,1360000000.0,144131200,0.10597882352941176
34M,316,1,2.0,1360000000.0,455454592,0.3348930823529412
34M,0,1,4.0,2720000000.0,0,0.0
34M,1,1,4.0,2720000000.0,1441312,0.0005298941176470588
34M,3,1,4.0,2720000000.0,4323936,0.0015896823529411765
34M,10,1,4.0,2720000000.0,14413120,0.005298941176470588
34M,32,1,4.0,2720000000.0,46121984,0.016956611764705882
34M,100,1,4.0,2720000000.0,144131200,0.05298941176470588
34M,316,1,4.0,2720000000.0,455454592,0.1674465411764706
34M,1000,1,4.0,2720000000.0,1441312000,0.5298941176470588
34M,0,1,8.0,5440000000.0,0,0.0
34M,1,1,8.0,5440000000.0,1441312,0.0002649470588235294
34M,3,1,8.0,5440000000.0,4323936,0.0007948411764705883
34M,10,1,8.0,5440000000.0,14413120,0.002649470588235294
34M,32,1,8.0,5440000000.0,46121984,0.008478305882352941
34M,100,1,8.0,5440000000.0,144131200,0.02649470588235294
34M,316,1,8.0,5440000000.0,455454592,0.0837232705882353
34M,1000,1,8.0,5440000000.0,1441312000,0.2649470588235294
34M,3162,1,8.0,5440000000.0,4557428544,0.8377626
34M,0,1,16.0,10880000000.0,0,0.0
34M,1,1,16.0,10880000000.0,1441312,0.0001324735294117647
34M,3,1,16.0,10880000000.0,4323936,0.00039742058823529413
34M,10,1,16.0,10880000000.0,14413120,0.001324735294117647
34M,32,1,16.0,10880000000.0,46121984,0.0042391529411764705
34M,100,1,16.0,10880000000.0,144131200,0.01324735294117647
34M,316,1,16.0,10880000000.0,455454592,0.04186163529411765
34M,1000,1,16.0,10880000000.0,1441312000,0.1324735294117647
34M,3162,1,16.0,10880000000.0,4557428544,0.4188813
62M,0,1,1.0,1240000000.0,0,0.0
62M,1,1,1.0,1240000000.0,1441312,0.0011623483870967742
62M,3,1,1.0,1240000000.0,4323936,0.0034870451612903225
62M,10,1,1.0,1240000000.0,14413120,0.011623483870967743
62M,32,1,1.0,1240000000.0,46121984,0.037195148387096776
62M,100,1,1.0,1240000000.0,144131200,0.11623483870967742
62M,316,1,1.0,1240000000.0,455454592,0.36730209032258065
62M,0,1,2.0,2480000000.0,0,0.0
62M,1,1,2.0,2480000000.0,1441312,0.0005811741935483871
62M,3,1,2.0,2480000000.0,4323936,0.0017435225806451612
62M,10,1,2.0,2480000000.0,14413120,0.005811741935483871
62M,32,1,2.0,2480000000.0,46121984,0.018597574193548388
62M,100,1,2.0,2480000000.0,144131200,0.05811741935483871
62M,316,1,2.0,2480000000.0,455454592,0.18365104516129033
62M,1000,1,2.0,2480000000.0,1441312000,0.5811741935483871
62M,0,1,4.0,4960000000.0,0,0.0
62M,1,1,4.0,4960000000.0,1441312,0.00029058709677419356
62M,3,1,4.0,4960000000.0,4323936,0.0008717612903225806
62M,10,1,4.0,4960000000.0,14413120,0.0029058709677419357
62M,32,1,4.0,4960000000.0,46121984,0.009298787096774194
62M,100,1,4.0,4960000000.0,144131200,0.029058709677419355
62M,316,1,4.0,4960000000.0,455454592,0.09182552258064516
62M,1000,1,4.0,4960000000.0,1441312000,0.29058709677419353
62M,3162,1,4.0,4960000000.0,4557428544,0.9188364
62M,0,1,8.0,9920000000.0,0,0.0
62M,1,1,8.0,9920000000.0,1441312,0.00014529354838709678
62M,3,1,8.0,9920000000.0,4323936,0.0004358806451612903
62M,10,1,8.0,9920000000.0,14413120,0.0014529354838709678
62M,32,1,8.0,9920000000.0,46121984,0.004649393548387097
62M,100,1,8.0,9920000000.0,144131200,0.014529354838709678
62M,316,1,8.0,9920000000.0,455454592,0.04591276129032258
62M,1000,1,8.0,9920000000.0,1441312000,0.14529354838709677
62M,3162,1,8.0,9920000000.0,4557428544,0.4594182
62M,0,1,16.0,19840000000.0,0,0.0
62M,1,1,16.0,19840000000.0,1441312,7.264677419354839e-05
62M,3,1,16.0,19840000000.0,4323936,0.00021794032258064516
62M,10,1,16.0,19840000000.0,14413120,0.0007264677419354839
62M,32,1,16.0,19840000000.0,46121984,0.0023246967741935485
62M,100,1,16.0,19840000000.0,144131200,0.007264677419354839
62M,316,1,16.0,19840000000.0,455454592,0.02295638064516129
62M,1000,1,16.0,19840000000.0,1441312000,0.07264677419354838
62M,3162,1,16.0,19840000000.0,4557428544,0.2297091
93M,0,1,1.0,1860000000.0,0,0.0
93M,1,1,1.0,1860000000.0,1441312,0.0007748989247311828
93M,3,1,1.0,1860000000.0,4323936,0.0023246967741935485
93M,10,1,1.0,1860000000.0,14413120,0.007748989247311828
93M,32,1,1.0,1860000000.0,46121984,0.02479676559139785
93M,100,1,1.0,1860000000.0,144131200,0.07748989247311829
93M,316,1,1.0,1860000000.0,455454592,0.24486806021505375
93M,1000,1,1.0,1860000000.0,1441312000,0.7748989247311828
93M,0,1,2.0,3720000000.0,0,0.0
93M,1,1,2.0,3720000000.0,1441312,0.0003874494623655914
93M,3,1,2.0,3720000000.0,4323936,0.0011623483870967742
93M,10,1,2.0,3720000000.0,14413120,0.003874494623655914
93M,32,1,2.0,3720000000.0,46121984,0.012398382795698925
93M,100,1,2.0,3720000000.0,144131200,0.03874494623655914
93M,316,1,2.0,3720000000.0,455454592,0.12243403010752688
93M,1000,1,2.0,3720000000.0,1441312000,0.3874494623655914
93M,0,1,4.0,7440000000.0,0,0.0
93M,1,1,4.0,7440000000.0,1441312,0.0001937247311827957
93M,3,1,4.0,7440000000.0,4323936,0.0005811741935483871
93M,10,1,4.0,7440000000.0,14413120,0.001937247311827957
93M,32,1,4.0,7440000000.0,46121984,0.006199191397849462
93M,100,1,4.0,7440000000.0,144131200,0.01937247311827957
93M,316,1,4.0,7440000000.0,455454592,0.06121701505376344
93M,1000,1,4.0,7440000000.0,1441312000,0.1937247311827957
93M,3162,1,4.0,7440000000.0,4557428544,0.6125576
93M,0,1,8.0,14880000000.0,0,0.0
93M,1,1,8.0,14880000000.0,1441312,9.686236559139785e-05
93M,3,1,8.0,14880000000.0,4323936,0.00029058709677419356
93M,10,1,8.0,14880000000.0,14413120,0.0009686236559139785
93M,32,1,8.0,14880000000.0,46121984,0.003099595698924731
93M,100,1,8.0,14880000000.0,144131200,0.009686236559139786
93M,316,1,8.0,14880000000.0,455454592,0.03060850752688172
93M,1000,1,8.0,14880000000.0,1441312000,0.09686236559139785
93M,3162,1,8.0,14880000000.0,4557428544,0.3062788
93M,0,1,16.0,29760000000.0,0,0.0
93M,1,1,16.0,29760000000.0,1441312,4.8431182795698924e-05
93M,3,1,16.0,29760000000.0,4323936,0.00014529354838709678
93M,10,1,16.0,29760000000.0,14413120,0.00048431182795698923
93M,32,1,16.0,29760000000.0,46121984,0.0015497978494623656
93M,100,1,16.0,29760000000.0,144131200,0.004843118279569893
93M,316,1,16.0,29760000000.0,455454592,0.01530425376344086
93M,1000,1,16.0,29760000000.0,1441312000,0.04843118279569893
93M,3162,1,16.0,29760000000.0,4557428544,0.1531394
