Parameters,Num. Replicas,score_greedy,score_tau1,greedy_only,absolute_drop,relative_drop,label
153M,0,0.0117976404719056,0.0093981203759248,0.0117976404719056,0.0023995200959808,0.2033898305084746,0
153M,1,0.0173965206958608,0.0103979204159168,0.0173965206958608,0.006998600279944001,0.4022988505747127,0
153M,3,0.0181963607278544,0.012997400519896,0.0181963607278544,0.0051989602079583995,0.2857142857142857,0
153M,10,0.0177964407118576,0.0095980803839232,0.0177964407118576,0.0081983603279344,0.4606741573033708,0
153M,100,0.8088382323535293,0.052989402119576,0.8088382323535293,0.7558488302339532,0.9344870210135972,1
153M,316,1.0,0.2513497300539892,1.0,0.7486502699460108,0.7486502699460108,1
153M,1000,1.0,0.2785442911417716,1.0,0.7214557088582284,0.7214557088582284,1
344M,1,0.012997400519896,0.0107978404319136,0.012997400519896,0.0021995600879824006,0.1692307692307693,0
344M,3,0.0153969206158768,0.0121975604879024,0.0153969206158768,0.0031993601279744002,0.20779220779220775,0
344M,10,0.0217956408718256,0.0103979204159168,0.0217956408718256,0.011397720455908799,0.5229357798165137,0
344M,100,0.9912017596480704,0.1787642471505698,0.9912017596480704,0.8124375124975006,0.8196489812386525,1
344M,1000,1.0,0.727254549090182,1.0,0.27274545090981805,0.27274545090981805,1
344M,3162,1.0,0.669866026794641,1.0,0.330133973205359,0.330133973205359,1
34M,0,0.0037992401519696,0.013997200559888,0.0037992401519696,-0.0101979604079184,-2.68421052631579,0
34M,1,0.0021995600879824,0.013997200559888,0.0021995600879824,-0.0117976404719056,-5.363636363636363,0
34M,3,0.0025994801039792,0.0123975204959008,0.0025994801039792,-0.0097980403919216,-3.769230769230769,0
34M,10,0.0075984803039392,0.0123975204959008,0.0075984803039392,-0.0047990401919616,-0.631578947368421,0
34M,100,0.0193961207758448,0.0117976404719056,0.0193961207758448,0.007598480303939201,0.3917525773195877,1
34M,316,0.0731853629274145,0.0101979604079184,0.0731853629274145,0.0629874025194961,0.8606557377049182,1
62M,0,0.0125974805038992,0.0123975204959008,0.0125974805038992,0.00019996000799839958,0.015873015873015817,0
62M,1,0.0087982403519296,0.0133973205358928,0.0087982403519296,-0.004599080183963199,-0.5227272727272725,0
62M,3,0.0147970405918816,0.0141971605678864,0.0147970405918816,0.0005998800239952005,0.04054054054054057,0
62M,10,0.0165966806638672,0.0115976804639072,0.0165966806638672,0.00499900019996,0.3012048192771084,0
62M,100,0.0739852029594081,0.0141971605678864,0.0739852029594081,0.0597880423915217,0.8081081081081083,1
62M,316,0.7990401919616077,0.018996200759848,0.7990401919616077,0.7800439912017597,0.9762262262262262,1
93M,0,0.0073985202959408,0.011997600479904,0.0073985202959408,-0.004599080183963201,-0.6216216216216217,0
93M,1,0.0131973605278944,0.0133973205358928,0.0131973605278944,-0.00019996000799839958,-0.015151515151515138,0
93M,3,0.0141971605678864,0.0091981603679264,0.0141971605678864,0.00499900019996,0.352112676056338,0
93M,10,0.0175964807038592,0.010997800439912,0.0175964807038592,0.006598680263947202,0.3750000000000001,0
93M,100,0.3729254149170166,0.018996200759848,0.3729254149170166,0.3539292141571686,0.9490616621983915,1
93M,316,0.9872025594881024,0.0627874425114977,0.9872025594881024,0.9244151169766047,0.9363986226453311,1
93M,1000,0.9994001199760048,0.1121775644871025,0.9994001199760048,0.8872225554889023,0.8877551020408164,1
